XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
5.000,8.000,0.010,-20.000,nan,12.630,28.240,2.682,0.000,0.000,0.000,12.134,4.414,2.749,2.236,63.487,352.219,-46.783,-243.153,36.849,-533.635,-2951.492,-13.502,243.127,505.160,-298.057,-4233.395,-129.237,9.798,-26.070,284.149
5.000,8.000,0.010,-19.000,nan,12.554,28.441,2.571,0.000,0.000,0.000,12.074,4.293,2.812,2.265,64.110,350.559,-46.783,-243.153,36.732,-530.574,-2959.634,-11.920,243.127,505.160,-298.057,-4233.395,-153.855,9.798,-26.070,254.653
5.000,8.000,0.010,-18.000,nan,12.474,28.655,2.462,0.000,0.000,0.000,12.010,4.175,2.877,2.297,64.168,350.405,-46.783,-243.153,36.746,-526.995,-2969.159,-10.306,243.127,505.160,-298.057,-4233.395,-170.469,9.798,-26.070,233.158
5.000,8.000,0.010,-17.000,nan,12.382,28.900,2.354,0.000,0.000,0.000,11.934,4.055,2.943,2.334,64.639,349.148,-46.783,-243.153,36.413,-522.452,-2981.246,-8.572,243.127,505.160,-298.057,-4233.395,-180.656,9.798,-26.070,219.633
5.000,8.000,0.010,-16.000,nan,12.266,29.209,2.244,0.000,0.000,0.000,11.834,3.930,3.012,2.381,65.596,346.601,-46.783,-243.153,35.915,-516.304,-2997.602,-6.611,243.127,505.160,-298.057,-4233.395,-186.607,9.798,-26.070,212.187
5.000,8.000,0.010,-15.000,nan,12.125,29.585,2.133,0.000,0.000,0.000,11.710,3.800,3.082,2.440,66.529,344.118,-46.783,-243.153,35.611,-508.437,-3018.534,-4.470,243.127,505.160,-298.057,-4233.395,-190.477,9.798,-26.070,208.781
5.000,8.000,0.010,-14.000,nan,11.963,30.015,2.023,0.000,0.000,0.000,11.565,3.668,3.153,2.509,67.264,342.159,-46.783,-243.153,35.496,-499.029,-3043.564,-2.259,243.127,505.160,-298.057,-4233.395,-193.669,9.798,-26.070,207.452
5.000,8.000,0.010,-13.000,nan,11.783,30.494,1.915,0.000,0.000,0.000,11.402,3.536,3.224,2.588,67.916,340.422,-46.783,-243.153,35.471,-488.076,-3072.704,-0.043,243.127,505.160,-298.057,-4233.396,-195.197,9.798,-26.070,208.372
5.000,8.000,0.010,-12.000,nan,11.585,31.021,1.810,0.000,0.000,0.000,11.220,3.404,3.296,2.678,68.574,338.667,-46.783,-243.153,35.525,-475.141,-3107.119,2.188,243.127,505.160,-298.057,-4233.396,-192.804,9.798,-26.070,212.061
5.000,8.000,0.010,-11.000,nan,11.369,31.595,1.708,0.000,0.000,0.000,11.021,3.273,3.367,2.779,69.211,336.969,-46.783,-243.153,35.687,-459.729,-3148.126,4.428,243.127,505.160,-298.057,-4233.396,-187.137,9.798,-26.070,219.929
