ALPHA,MACH,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
4.000,0.010,nan,3.838,-18.098,1.010,0.000,0.000,0.000,3.758,1.275,2.947,-4.716,58.384,-242.981,-51.496,251.350,4.064,710.173,-4523.959,0.000,227.569,-1147.424,663.232,-4779.243,-38.201,4.135,-49.653,81.567
4.000,0.110,nan,3.869,-18.078,0.690,0.000,0.000,0.000,3.811,0.958,3.976,-4.673,58.755,-242.750,-51.972,250.939,4.300,715.012,-4556.295,0.000,227.759,-1147.836,667.939,-4802.514,-34.571,4.186,-50.268,71.212
4.000,0.210,nan,3.900,-18.283,0.632,0.000,0.000,0.000,3.846,0.903,4.261,-4.688,59.099,-244.563,-52.439,253.997,4.150,716.351,-4554.652,0.000,227.950,-1149.024,669.432,-4804.433,-31.298,4.282,-51.434,60.169
4.000,0.310,nan,3.926,-18.464,0.600,0.000,0.000,0.000,3.874,0.873,4.439,-4.703,59.402,-246.201,-52.807,256.672,3.877,719.130,-4568.421,0.000,228.140,-1151.018,671.651,-4816.930,-27.348,4.361,-52.393,47.592
4.000,0.410,nan,3.954,-18.671,0.578,0.000,0.000,0.000,3.904,0.853,4.578,-4.722,59.752,-248.098,-53.205,259.755,3.545,723.339,-4593.681,0.000,228.331,-1153.868,674.877,-4838.575,-23.651,4.449,-53.477,34.910
4.000,0.510,nan,3.988,-18.928,0.561,0.000,0.000,0.000,3.939,0.838,4.700,-4.746,60.187,-250.420,-53.680,263.594,3.153,729.234,-4630.454,0.000,228.521,-1157.645,679.413,-4870.575,-20.858,4.560,-54.831,22.479
4.000,0.610,nan,4.061,-18.650,0.547,0.000,0.000,0.000,4.013,0.829,4.843,-4.592,61.469,-247.097,-54.602,259.522,2.726,742.867,-4627.201,0.000,228.712,-1162.440,685.526,-4804.611,-19.429,4.610,-55.468,9.474
4.000,0.710,nan,4.111,-19.026,0.534,0.000,0.000,0.000,4.064,0.820,4.958,-4.628,61.620,-251.848,-55.583,264.426,2.134,748.138,-4763.240,0.000,228.902,-1168.364,699.274,-4977.533,-19.989,4.700,-56.572,-4.888
4.000,0.810,nan,4.240,-19.600,0.539,0.000,0.000,0.000,4.192,0.833,5.030,-4.622,63.382,-257.740,-57.342,272.506,1.599,820.357,-5484.378,0.000,229.033,-1175.466,769.219,-5690.457,-23.058,5.048,-60.794,-14.883
4.000,0.910,nan,4.398,-20.345,0.700,0.000,0.000,0.000,4.339,1.005,4.317,-4.626,65.203,-264.784,-59.658,282.968,1.288,901.858,-6300.157,0.000,229.753,-1182.728,852.061,-6510.993,-30.097,5.869,-70.807,-8.808
4.000,1.010,nan,4.760,-23.674,0.925,0.000,0.000,0.000,4.684,1.255,3.732,-4.974,69.284,-299.804,-64.909,330.228,2.248,1109.737,-8531.047,0.000,236.212,-1187.578,1062.348,-8817.115,-49.288,8.441,-103.343,78.240
4.000,1.110,nan,4.503,-22.094,1.019,0.000,0.000,0.000,4.420,1.331,3.321,-4.907,66.092,-288.874,-61.486,306.828,2.044,1009.226,-7662.152,0.000,238.717,-1204.714,961.152,-7911.172,-39.357,6.701,-82.167,43.851
4.000,1.210,nan,4.278,-20.949,0.987,0.000,0.000,0.000,4.199,1.283,3.272,-4.896,62.935,-278.597,-58.535,290.228,2.193,939.159,-7490.620,0.000,233.341,-1345.760,893.293,-7336.922,-32.635,5.670,-69.555,22.061
4.000,1.310,nan,4.202,-20.184,0.934,0.000,0.000,0.000,4.126,1.225,3.370,-4.804,61.683,-271.295,-57.690,279.361,2.139,907.230,-7272.120,0.000,246.481,-1397.383,864.823,-7104.669,-29.085,4.917,-60.336,4.180
4.000,1.410,nan,4.008,-19.015,0.905,0.000,0.000,0.000,3.935,1.183,3.327,-4.745,58.902,-259.483,-55.182,262.977,1.720,831.678,-6579.462,0.000,248.297,-1404.518,790.534,-6376.211,-23.422,3.880,-47.630,-28.231
4.000,1.510,nan,3.883,-18.131,0.861,0.000,0.000,0.000,3.814,1.130,3.376,-4.669,57.184,-249.308,-53.505,250.793,1.486,798.071,-6266.354,0.000,249.742,-1410.195,754.311,-6020.166,-20.876,3.321,-40.773,-43.909
4.000,1.610,nan,3.786,-17.545,0.832,0.000,0.000,0.000,3.719,1.094,3.398,-4.634,55.789,-242.342,-52.192,242.701,1.235,770.225,-6015.255,0.000,250.965,-1415.001,725.503,-5748.642,-18.984,3.006,-36.910,-56.171
4.000,1.710,nan,3.703,-17.059,0.813,0.000,0.000,0.000,3.637,1.069,3.402,-4.607,54.783,-237.627,-51.057,235.875,1.059,748.912,-5831.315,0.000,252.045,-1419.245,703.190,-5545.838,-17.520,2.763,-33.931,-65.995
4.000,1.810,nan,3.625,-16.614,0.804,0.000,0.000,0.000,3.560,1.055,3.374,-4.583,53.766,-232.426,-50.018,229.962,0.877,735.426,-5739.690,0.000,253.020,-1423.074,688.666,-5435.042,-16.207,2.507,-30.790,-74.616
4.000,1.910,nan,3.552,-16.210,0.783,0.000,0.000,0.000,3.489,1.029,3.391,-4.563,52.813,-227.734,-49.038,224.547,0.678,725.274,-5683.380,0.000,253.912,-1426.578,677.482,-5362.140,-15.086,2.288,-28.101,-81.673
4.000,2.010,nan,3.480,-15.809,0.753,0.000,0.000,0.000,3.419,0.993,3.442,-4.542,51.885,-223.197,-48.058,219.003,0.506,707.958,-5535.816,0.000,254.735,-1429.812,659.210,-5199.961,-14.020,2.103,-25.833,-87.789
4.000,2.110,nan,3.385,-15.357,0.724,0.000,0.000,0.000,3.326,0.959,3.470,-4.537,50.574,-217.531,-46.710,212.576,0.449,682.381,-5313.893,0.000,255.500,-1432.819,633.308,-4968.226,-12.804,1.908,-23.432,-93.223
