ALPHA,MACH,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
-6.000,4.110,nan,-3.036,13.723,0.412,0.000,0.000,0.000,-2.976,0.727,-4.094,-4.520,32.808,-142.137,-33.357,142.254,-0.589,449.427,-4019.913,0.000,290.572,-1570.605,563.668,-5166.102,6.963,-0.759,9.323,-77.406
-6.000,4.210,nan,-3.486,14.817,0.402,0.000,0.000,0.000,-3.425,0.764,-4.480,-4.251,36.800,-151.687,-37.728,153.301,-0.808,483.661,-4100.113,0.000,292.487,-1578.126,601.510,-5294.532,9.749,-1.022,12.549,-92.396
-6.000,4.310,nan,-3.448,14.626,0.393,0.000,0.000,0.000,-3.388,0.751,-4.510,-4.242,36.563,-150.394,-37.394,151.612,-0.785,481.413,-4091.149,0.000,294.390,-1585.605,604.319,-5339.649,9.842,-1.003,12.315,-91.091
-6.000,4.410,nan,-3.408,14.423,0.384,0.000,0.000,0.000,-3.349,0.738,-4.537,-4.232,36.303,-148.979,-37.208,150.379,-0.763,479.095,-4082.375,0.000,296.284,-1593.045,606.955,-5384.276,9.938,-0.985,12.094,-89.895
-6.000,4.510,nan,-3.361,14.179,0.375,0.000,0.000,0.000,-3.304,0.725,-4.558,-4.218,36.126,-147.648,-37.289,149.899,-0.777,475.294,-4068.689,0.000,298.169,-1600.448,608.920,-5425.763,10.043,-0.980,12.036,-88.719
-6.000,4.610,nan,-3.318,13.952,0.367,0.000,0.000,0.000,-3.261,0.712,-4.581,-4.205,35.966,-146.428,-37.337,149.354,-0.786,471.797,-4055.796,0.000,299.919,-1607.325,610.620,-5463.401,10.155,-0.974,11.958,-87.569
-6.000,4.710,nan,-3.278,13.752,0.359,0.000,0.000,0.000,-3.222,0.700,-4.606,-4.195,35.754,-145.175,-37.268,148.531,-0.789,468.289,-4039.923,0.000,301.175,-1612.260,610.584,-5482.188,10.106,-0.951,11.686,-86.578
-6.000,4.810,nan,-3.237,13.555,0.351,0.000,0.000,0.000,-3.183,0.687,-4.629,-4.187,35.651,-144.347,-37.120,147.483,-0.770,464.710,-4021.926,0.000,302.138,-1616.044,609.749,-5491.261,10.059,-0.930,11.422,-85.678
-6.000,4.910,nan,-3.186,13.333,0.343,0.000,0.000,0.000,-3.133,0.675,-4.644,-4.184,36.092,-145.439,-36.770,145.782,-0.670,459.996,-3993.565,0.000,302.308,-1616.709,606.243,-5471.715,10.019,-0.910,11.183,-84.981
-6.000,5.010,nan,-3.140,13.129,0.336,0.000,0.000,0.000,-3.088,0.663,-4.661,-4.180,36.363,-146.012,-36.430,144.139,-0.586,455.675,-3967.077,0.000,302.470,-1617.347,603.057,-5454.573,10.001,-0.890,10.935,-84.250
