ALPHA,MACH,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
-14.000,0.010,nan,-16.161,76.518,0.990,0.000,0.000,0.000,-15.441,4.870,-3.171,-4.735,78.216,-398.373,-33.526,32.144,-165.898,937.648,-6661.796,0.000,260.427,-1141.861,802.877,-4794.763,38.333,9.572,-114.920,940.927
-14.000,0.110,nan,-16.259,76.746,0.673,0.000,0.000,0.000,-15.613,4.586,-3.404,-4.720,78.556,-400.649,-33.986,31.008,-148.112,941.750,-6665.670,0.000,262.065,-1142.154,811.482,-4800.523,41.269,10.072,-120.923,818.755
-14.000,0.210,nan,-16.371,77.545,0.615,0.000,0.000,0.000,-15.735,4.557,-3.453,-4.737,79.004,-404.193,-34.079,28.434,-129.396,948.901,-6712.619,0.000,263.704,-1143.134,818.654,-4806.400,37.369,10.448,-125.462,690.239
-14.000,0.310,nan,-16.475,78.277,0.583,0.000,0.000,0.000,-15.844,4.552,-3.481,-4.751,79.483,-407.623,-34.174,26.526,-110.492,955.582,-6752.245,0.000,265.342,-1144.824,825.378,-4809.004,36.069,10.778,-129.461,561.306
-14.000,0.410,nan,-16.598,79.125,0.562,0.000,0.000,0.000,-15.969,4.560,-3.502,-4.767,80.078,-411.678,-34.237,24.250,-91.642,962.886,-6794.382,0.000,266.981,-1147.265,832.180,-4809.957,36.474,11.165,-134.158,432.343
-14.000,0.510,nan,-16.752,80.174,0.545,0.000,0.000,0.000,-16.123,4.581,-3.519,-4.786,80.850,-416.748,-34.242,21.105,-72.781,971.122,-6839.885,0.000,268.619,-1150.516,839.230,-4808.925,38.787,11.652,-140.089,302.756
-14.000,0.610,nan,-17.130,79.981,0.530,0.000,0.000,0.000,-16.493,4.658,-3.541,-4.669,82.850,-419.916,-34.974,15.803,-55.673,969.061,-6630.529,0.000,270.258,-1154.653,843.873,-4665.792,48.224,12.067,-145.160,186.363
-14.000,0.710,nan,-17.102,81.380,0.517,0.000,0.000,0.000,-16.469,4.639,-3.550,-4.759,81.580,-422.017,-35.361,13.209,-32.633,978.422,-6809.772,0.000,271.896,-1159.773,860.813,-4809.523,50.981,13.041,-156.931,29.276
-14.000,0.810,nan,-17.741,85.257,0.522,0.000,0.000,0.000,-17.087,4.798,-3.561,-4.806,85.504,-452.868,-35.433,1.715,-13.226,1046.465,-7466.154,0.000,273.482,-1165.953,931.370,-5469.099,66.572,8.111,-97.648,-104.817
-14.000,0.910,nan,-18.474,90.851,0.682,0.000,0.000,0.000,-17.760,5.131,-3.461,-4.918,90.165,-496.512,-36.069,-18.535,-4.633,1139.767,-8300.925,0.000,283.187,-1172.349,1028.063,-6030.768,75.330,14.554,-175.523,-147.263
