ALPHA,MACH,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
2.000,0.010,nan,1.851,-9.119,1.010,0.000,0.000,0.000,1.814,1.074,1.689,-4.928,56.025,-257.808,-52.320,262.234,-0.098,690.110,-4634.090,0.000,219.316,-1150.175,666.306,-4783.801,-18.863,1.801,-21.632,-18.699
2.000,0.110,nan,1.867,-9.107,0.691,0.000,0.000,0.000,1.842,0.755,2.438,-4.878,56.453,-257.547,-52.802,261.886,-0.071,694.983,-4663.147,0.000,219.375,-1150.638,671.127,-4807.562,-17.121,1.831,-21.986,-18.811
2.000,0.210,nan,1.884,-9.221,0.632,0.000,0.000,0.000,1.861,0.698,2.666,-4.895,56.882,-260.289,-53.297,265.291,-0.035,696.397,-4663.177,0.000,219.435,-1151.923,672.705,-4809.589,-15.549,1.876,-22.535,-17.859
2.000,0.310,nan,1.897,-9.321,0.601,0.000,0.000,0.000,1.875,0.666,2.813,-4.913,57.237,-262.714,-53.688,268.270,0.003,698.932,-4676.512,0.000,219.494,-1154.063,674.986,-4821.827,-13.649,1.912,-22.969,-17.997
2.000,0.410,nan,1.912,-9.436,0.579,0.000,0.000,0.000,1.890,0.645,2.931,-4.936,57.633,-265.502,-54.112,271.695,0.044,702.714,-4700.310,0.000,219.554,-1157.112,678.258,-4842.926,-11.883,1.951,-23.448,-18.025
2.000,0.510,nan,1.929,-9.579,0.562,0.000,0.000,0.000,1.908,0.629,3.036,-4.965,58.115,-268.938,-54.620,275.954,0.087,708.017,-4735.082,0.000,219.613,-1161.146,682.828,-4874.079,-10.576,1.999,-24.035,-17.536
2.000,0.610,nan,1.963,-9.434,0.547,0.000,0.000,0.000,1.942,0.615,3.158,-4.807,59.214,-265.030,-55.539,271.775,0.191,718.329,-4703.265,0.000,219.673,-1166.264,689.115,-4808.057,-9.915,2.022,-24.335,-19.042
2.000,0.710,nan,1.995,-9.622,0.534,0.000,0.000,0.000,1.975,0.604,3.272,-4.822,59.815,-270.401,-56.560,277.166,0.312,727.790,-4858.832,0.000,219.732,-1172.585,702.804,-4979.830,-10.270,2.090,-25.153,-17.385
2.000,0.810,nan,2.060,-9.929,0.539,0.000,0.000,0.000,2.040,0.611,3.339,-4.821,61.654,-278.231,-58.401,286.196,0.420,798.986,-5575.011,0.000,219.732,-1180.144,772.752,-5690.771,-11.853,2.231,-26.862,-12.408
2.000,0.910,nan,2.143,-10.334,0.700,0.000,0.000,0.000,2.118,0.775,2.733,-4.822,63.837,-288.280,-60.852,298.230,0.305,881.250,-6392.499,0.000,220.269,-1187.489,855.572,-6509.211,-15.674,2.613,-31.525,0.665
