ALPHA,MACH,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
6.000,0.010,nan,5.908,-26.632,1.009,0.000,0.000,0.000,5.770,1.621,3.561,-4.508,61.555,-244.555,-49.330,224.822,19.333,727.628,-4449.023,0.000,235.519,-1145.543,660.021,-4764.932,-60.269,6.899,-82.841,246.868
6.000,0.110,nan,5.952,-26.606,0.689,0.000,0.000,0.000,5.847,1.308,4.471,-4.470,61.882,-244.465,-49.784,224.149,17.787,732.439,-4483.438,0.000,235.913,-1145.916,664.580,-4787.689,-54.469,6.963,-83.614,216.576
6.000,0.210,nan,5.995,-26.873,0.631,0.000,0.000,0.000,5.896,1.254,4.700,-4.483,62.197,-245.949,-50.175,226.272,16.049,733.840,-4480.941,0.000,236.307,-1147.033,665.969,-4789.645,-49.176,7.113,-85.437,183.811
6.000,0.310,nan,6.031,-27.109,0.600,0.000,0.000,0.000,5.935,1.227,4.839,-4.495,62.493,-247.308,-50.478,228.115,14.222,736.904,-4495.202,0.000,236.702,-1148.924,668.161,-4803.175,-42.828,7.240,-86.986,148.993
6.000,0.410,nan,6.072,-27.381,0.578,0.000,0.000,0.000,5.978,1.209,4.944,-4.510,62.846,-248.880,-50.804,230.269,12.379,741.514,-4521.609,0.000,237.096,-1151.634,671.417,-4826.640,-36.842,7.386,-88.772,113.788
6.000,0.510,nan,6.121,-27.716,0.561,0.000,0.000,0.000,6.029,1.197,5.035,-4.528,63.292,-250.782,-51.190,232.983,10.530,747.912,-4559.897,0.000,237.490,-1155.231,676.038,-4861.241,-32.193,7.570,-91.034,78.495
6.000,0.610,nan,6.241,-27.326,0.546,0.000,0.000,0.000,6.149,1.195,5.145,-4.379,64.726,-247.887,-52.112,228.978,8.803,764.218,-4580.683,0.000,237.885,-1159.799,682.104,-4797.264,-29.914,7.649,-92.037,44.574
6.000,0.710,nan,6.293,-27.871,0.533,0.000,0.000,0.000,6.203,1.188,5.220,-4.429,64.522,-252.772,-52.989,232.607,6.597,765.694,-4696.110,0.000,238.279,-1165.446,695.946,-4971.942,-30.369,7.721,-92.930,3.060
6.000,0.810,nan,6.484,-28.649,0.538,0.000,0.000,0.000,6.392,1.213,5.270,-4.419,66.312,-258.136,-54.547,238.302,4.674,838.995,-5423.566,0.000,238.614,-1172.229,766.010,-5688.636,-34.852,8.344,-100.477,-30.806
6.000,0.910,nan,6.704,-29.643,0.699,0.000,0.000,0.000,6.595,1.396,4.723,-4.421,67.982,-264.764,-56.522,244.666,3.957,919.868,-6239.411,0.000,239.591,-1179.402,849.012,-6513.343,-46.367,9.642,-116.308,-36.772
6.000,1.010,nan,7.208,-34.201,0.924,0.000,0.000,0.000,7.072,1.672,4.229,-4.745,72.372,-304.512,-60.714,278.008,7.365,1127.481,-8452.531,0.000,247.955,-1184.830,1059.526,-8829.232,-74.594,13.762,-168.492,65.860
6.000,1.110,nan,6.838,-32.259,1.018,0.000,0.000,0.000,6.694,1.727,3.876,-4.717,69.041,-295.672,-58.192,265.223,6.640,1026.376,-7578.030,0.000,251.745,-1200.063,957.570,-7920.309,-60.634,10.877,-133.360,38.691
6.000,1.210,nan,6.502,-30.761,0.980,0.000,0.000,0.000,6.364,1.654,3.848,-4.731,65.643,-286.082,-55.760,254.882,6.313,955.042,-7592.551,0.000,247.062,-1399.668,889.127,-7322.716,-50.219,9.154,-112.301,24.329
