ALPHA,MACH,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
-12.000,0.010,nan,-13.445,62.775,0.998,0.000,0.000,0.000,-12.943,3.771,-3.432,-4.669,76.080,-377.992,-42.215,124.895,-119.261,887.706,-6346.106,0.000,253.823,-1142.642,784.525,-4797.197,70.421,-11.779,141.422,769.036
-12.000,0.110,nan,-13.531,62.924,0.680,0.000,0.000,0.000,-13.093,3.478,-3.764,-4.651,76.452,-380.113,-42.747,124.500,-106.810,891.426,-6347.568,0.000,255.027,-1142.951,792.843,-4816.519,65.956,-11.757,141.170,668.970
-12.000,0.210,nan,-13.626,63.596,0.622,0.000,0.000,0.000,-13.199,3.442,-3.835,-4.667,76.945,-384.061,-43.038,124.388,-93.789,897.038,-6382.080,0.000,256.232,-1143.959,798.153,-4817.022,60.201,-11.952,143.529,562.774
-12.000,0.310,nan,-13.713,64.204,0.591,0.000,0.000,0.000,-13.291,3.429,-3.876,-4.682,77.448,-387.757,-43.286,124.459,-80.501,902.069,-6409.461,0.000,257.436,-1145.690,804.084,-4827.060,54.044,-12.137,145.789,455.602
-12.000,0.410,nan,-13.815,64.906,0.569,0.000,0.000,0.000,-13.395,3.429,-3.907,-4.698,78.061,-392.072,-43.523,124.427,-67.121,907.392,-6436.459,0.000,258.641,-1148.185,810.905,-4845.152,48.931,-12.365,148.587,348.200
-12.000,0.510,nan,-13.942,65.773,0.552,0.000,0.000,0.000,-13.523,3.438,-3.933,-4.717,78.849,-397.420,-43.751,124.118,-53.536,913.148,-6462.100,0.000,259.846,-1151.506,818.886,-4872.205,46.272,-12.667,152.300,240.289
-12.000,0.610,nan,-14.251,65.480,0.537,0.000,0.000,0.000,-13.828,3.488,-3.964,-4.595,80.787,-399.666,-44.632,119.875,-41.207,908.946,-6241.992,0.000,261.050,-1155.731,827.448,-4792.672,51.036,-12.760,153.507,142.749
-12.000,0.710,nan,-14.264,66.776,0.524,0.000,0.000,0.000,-13.843,3.479,-3.979,-4.682,79.933,-404.863,-45.379,121.360,-24.869,920.094,-6423.987,0.000,262.255,-1160.958,845.304,-4964.966,54.943,-12.411,149.355,11.770
-12.000,0.810,nan,-14.770,69.627,0.529,0.000,0.000,0.000,-14.337,3.589,-3.995,-4.714,83.435,-430.613,-46.423,120.929,-11.184,986.858,-7078.023,0.000,263.404,-1167.259,918.513,-5673.153,72.565,-13.953,167.993,-97.425
-12.000,0.910,nan,-15.350,73.774,0.690,0.000,0.000,0.000,-14.872,3.866,-3.847,-4.806,87.264,-467.472,-46.951,109.938,-6.168,1068.009,-7890.023,0.000,265.324,-1174.256,1005.177,-6487.723,105.286,-15.514,187.114,-139.008
-12.000,1.010,nan,-16.895,89.910,0.912,0.000,0.000,0.000,-16.336,4.405,-3.709,-5.322,98.687,-595.247,-47.502,79.809,-21.123,1315.307,-10491.920,0.000,282.970,-1180.294,1258.780,-8762.235,176.688,-19.444,238.025,1.742
-12.000,1.110,nan,-15.750,81.981,1.005,0.000,0.000,0.000,-15.197,4.258,-3.569,-5.205,90.307,-525.087,-49.965,108.722,-22.601,1201.281,-9273.196,0.000,295.488,-1192.408,1197.647,-7843.193,135.584,-15.173,186.034,-4.619
-12.000,1.210,nan,-14.793,76.376,0.939,0.000,0.000,0.000,-14.274,3.994,-3.574,-5.163,83.567,-477.113,-50.181,120.714,-24.603,1122.016,-9770.264,0.000,295.418,-1589.643,1149.057,-10026.540,110.394,-12.517,153.553,3.289
-12.000,1.310,nan,-14.308,72.367,0.886,0.000,0.000,0.000,-13.811,3.841,-3.595,-5.058,79.425,-442.185,-51.206,128.422,-25.370,1080.436,-9412.318,0.000,310.879,-1650.385,1128.654,-9880.514,98.299,-10.494,128.781,3.722
-12.000,1.410,nan,-13.443,66.543,0.858,0.000,0.000,0.000,-12.971,3.634,-3.569,-4.950,73.227,-393.515,-51.718,142.513,-23.550,992.020,-8536.373,0.000,315.928,-1670.219,1065.338,-9263.534,79.031,-7.990,98.072,-13.243
-12.000,1.510,nan,-12.948,62.664,0.822,0.000,0.000,0.000,-12.494,3.496,-3.574,-4.840,70.079,-365.677,-51.930,147.792,-23.280,944.808,-8050.509,0.000,320.635,-1688.712,1038.721,-9007.666,71.067,-6.831,83.859,-14.856
-12.000,1.610,nan,-12.577,60.124,0.800,0.000,0.000,0.000,-12.136,3.398,-3.572,-4.780,67.879,-348.125,-51.991,150.788,-20.893,913.604,-7751.963,0.000,325.138,-1706.405,1020.347,-8845.154,65.949,-6.193,76.034,-32.744
-12.000,1.710,nan,-12.321,58.361,0.786,0.000,0.000,0.000,-11.888,3.331,-3.569,-4.737,66.570,-336.795,-52.287,154.506,-18.829,893.018,-7557.543,0.000,329.511,-1723.581,1010.845,-8767.646,62.297,-5.703,70.034,-47.262
-12.000,1.810,nan,-12.089,56.811,0.782,0.000,0.000,0.000,-11.662,3.279,-3.557,-4.700,65.769,-331.092,-52.542,157.549,-17.118,879.136,-7441.378,0.000,333.785,-1740.376,1008.884,-8779.401,59.993,-5.196,63.813,-59.471
-12.000,1.910,nan,-11.848,55.109,0.765,0.000,0.000,0.000,-11.430,3.211,-3.559,-4.651,64.486,-319.522,-52.758,159.993,-15.505,868.373,-7360.956,0.000,337.984,-1756.870,1010.278,-8829.630,57.850,-4.735,58.150,-70.654
-12.000,2.010,nan,-11.627,53.516,0.738,0.000,0.000,0.000,-11.220,3.139,-3.574,-4.603,63.830,-309.755,-54.400,167.752,-13.954,862.240,-7314.610,0.000,349.260,-1801.171,1033.703,-9086.634,53.206,-4.349,53.409,-81.678
-12.000,2.110,nan,-11.350,51.904,0.712,0.000,0.000,0.000,-10.953,3.056,-3.584,-4.573,63.118,-301.008,-55.822,176.995,-12.553,849.818,-7215.119,0.000,360.759,-1846.347,1049.569,-9278.279,48.013,-3.935,48.333,-90.108
-12.000,2.210,nan,-11.078,50.423,0.689,0.000,0.000,0.000,-10.693,2.977,-3.592,-4.552,62.071,-292.573,-55.971,181.162,-11.305,827.254,-7008.970,0.000,366.678,-1869.599,1042.941,-9247.563,44.082,-3.575,43.907,-96.774
-12.000,2.310,nan,-10.831,49.054,0.666,0.000,0.000,0.000,-10.456,2.904,-3.601,-4.529,61.126,-284.556,-56.145,184.744,-10.221,808.698,-6844.748,0.000,372.555,-1892.690,1037.475,-9223.563,41.256,-3.264,40.085,-102.064
-12.000,2.410,nan,-10.605,47.821,0.646,0.000,0.000,0.000,-10.239,2.837,-3.609,-4.509,59.884,-276.706,-56.310,187.928,-9.303,794.451,-6730.745,0.000,377.963,-1913.937,1032.995,-9206.182,38.782,-2.987,36.688,-106.352
-12.000,2.510,nan,-10.388,46.646,0.626,0.000,0.000,0.000,-10.030,2.772,-3.618,-4.491,57.980,-266.782,-54.909,184.882,-8.517,772.417,-6538.900,0.000,375.338,-1903.621,999.953,-8901.857,36.124,-2.744,33.702,-109.811
-12.000,2.610,nan,-10.190,45.563,0.609,0.000,0.000,0.000,-9.841,2.714,-3.625,-4.471,56.184,-257.492,-53.551,181.615,-7.892,752.761,-6370.152,0.000,372.682,-1893.188,970.393,-8634.077,33.824,-2.519,30.944,-111.180
-12.000,2.710,nan,-10.017,44.579,0.593,0.000,0.000,0.000,-9.675,2.663,-3.633,-4.450,55.063,-250.996,-53.512,182.812,-7.376,742.922,-6297.117,0.000,375.838,-1905.585,967.701,-8633.718,31.812,-2.317,28.453,-112.217
-12.000,2.810,nan,-9.854,43.657,0.578,0.000,0.000,0.000,-9.519,2.614,-3.641,-4.430,54.328,-245.863,-53.657,184.385,-6.902,735.305,-6247.125,0.000,379.647,-1920.552,970.143,-8685.563,30.222,-2.138,26.263,-113.005
