ALPHA,MACH,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
-4.000,0.010,nan,-3.838,18.098,1.010,0.000,0.000,0.000,-3.758,1.275,-2.947,-4.716,57.844,-256.660,-52.816,256.322,-4.064,692.171,-5201.377,0.000,223.478,-1148.655,701.708,-4778.012,38.201,-4.135,49.653,81.568
-4.000,0.110,nan,-3.869,18.078,0.690,0.000,0.000,0.000,-3.811,0.958,-3.976,-4.673,58.247,-256.478,-53.305,255.961,-4.300,696.340,-5209.800,0.000,223.594,-1149.090,706.842,-4801.259,34.571,-4.186,50.268,71.212
-4.000,0.210,nan,-3.900,18.283,0.632,0.000,0.000,0.000,-3.846,0.903,-4.261,-4.688,58.648,-258.935,-53.785,259.068,-4.150,698.218,-5212.968,0.000,223.709,-1150.323,708.763,-4803.133,31.298,-4.282,51.434,60.169
-4.000,0.310,nan,-3.926,18.464,0.600,0.000,0.000,0.000,-3.874,0.873,-4.439,-4.703,58.990,-261.126,-54.166,261.793,-3.877,699.800,-5216.703,0.000,223.825,-1152.384,711.411,-4815.564,27.348,-4.361,52.393,47.592
-4.000,0.410,nan,-3.954,18.671,0.578,0.000,0.000,0.000,-3.904,0.853,-4.578,-4.722,59.377,-263.642,-54.578,264.925,-3.545,701.657,-5222.625,0.000,223.941,-1155.324,715.065,-4837.119,23.651,-4.449,53.477,34.910
-4.000,0.510,nan,-3.988,18.928,0.561,0.000,0.000,0.000,-3.939,0.838,-4.700,-4.746,59.853,-266.726,-55.067,268.814,-3.153,704.119,-5232.655,0.000,224.057,-1159.217,720.030,-4869.003,20.859,-4.559,54.830,22.479
-4.000,0.610,nan,-4.061,18.650,0.547,0.000,0.000,0.000,-4.013,0.829,-4.843,-4.592,61.041,-263.035,-56.002,264.792,-2.726,702.109,-5082.476,0.000,224.172,-1164.157,726.570,-4802.893,19.429,-4.610,55.468,9.474
-4.000,0.710,nan,-4.111,19.026,0.534,0.000,0.000,0.000,-4.064,0.820,-4.958,-4.628,61.437,-268.447,-56.997,269.745,-2.134,720.076,-5267.888,0.000,224.288,-1170.261,740.746,-4975.636,19.989,-4.700,56.572,-4.888
-4.000,0.810,nan,-4.240,19.600,0.539,0.000,0.000,0.000,-4.192,0.833,-5.030,-4.622,63.286,-275.861,-58.769,277.873,-1.599,786.656,-5950.289,0.000,224.344,-1177.569,811.119,-5688.353,23.058,-5.048,60.793,-14.883
-4.000,0.910,nan,-4.398,20.345,0.700,0.000,0.000,0.000,-4.339,1.005,-4.317,-4.626,65.361,-285.307,-61.106,288.405,-1.288,867.844,-6745.625,0.000,224.963,-1184.876,894.600,-6508.845,30.097,-5.869,70.807,-8.808
-4.000,1.010,nan,-4.760,23.674,0.925,0.000,0.000,0.000,-4.684,1.255,-3.732,-4.974,70.129,-328.554,-66.609,336.576,-2.248,1082.711,-9071.722,0.000,230.531,-1189.349,1112.343,-8815.344,49.288,-8.441,103.343,78.240
-4.000,1.110,nan,-4.503,22.094,1.019,0.000,0.000,0.000,-4.420,1.331,-3.321,-4.907,66.579,-311.194,-63.351,313.816,-2.044,984.318,-8124.034,0.000,232.450,-1207.817,1016.049,-7908.069,39.358,-6.701,82.167,43.851
-4.000,1.210,nan,-4.278,20.949,0.987,0.000,0.000,0.000,-4.199,1.283,-3.272,-4.896,63.305,-297.493,-60.471,297.503,-2.193,918.888,-7824.047,0.000,226.784,-1319.999,950.385,-7916.802,32.635,-5.670,69.555,22.061
-4.000,1.310,nan,-4.202,20.184,0.934,0.000,0.000,0.000,-4.126,1.225,-3.370,-4.804,62.048,-288.076,-59.636,286.724,-2.139,891.832,-7574.079,0.000,239.902,-1371.538,922.210,-7688.068,29.085,-4.917,60.336,4.180
