ALPHA,MACH,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
10.000,0.010,nan,10.797,-49.578,1.003,0.000,0.000,0.000,10.459,2.863,3.654,-4.592,75.612,-378.131,-44.879,179.023,74.841,689.619,-3638.654,0.000,250.359,-1143.094,655.946,-4743.587,-99.781,12.124,-145.568,596.865
10.000,0.110,nan,10.870,-49.654,0.685,0.000,0.000,0.000,10.586,2.562,4.132,-4.568,76.009,-380.243,-45.330,178.516,67.312,694.431,-3673.480,0.000,251.369,-1143.412,660.081,-4764.702,-90.031,12.173,-146.169,520.638
10.000,0.210,nan,10.947,-50.182,0.627,0.000,0.000,0.000,10.672,2.518,4.238,-4.584,76.532,-384.490,-45.645,179.758,59.331,696.203,-3668.983,0.000,252.379,-1144.437,661.172,-4766.551,-79.883,12.407,-148.999,438.899
10.000,0.310,nan,11.017,-50.658,0.595,0.000,0.000,0.000,10.746,2.499,4.300,-4.598,77.049,-388.375,-45.888,180.887,51.117,702.154,-3709.495,0.000,253.389,-1146.192,663.191,-4781.586,-68.407,12.616,-151.553,355.733
10.000,0.410,nan,11.097,-51.207,0.573,0.000,0.000,0.000,10.829,2.492,4.346,-4.614,77.672,-392.869,-46.140,182.157,42.831,711.427,-3782.749,0.000,254.399,-1148.720,666.360,-4807.755,-57.649,12.865,-154.606,272.377
10.000,0.510,nan,11.197,-51.883,0.556,0.000,0.000,0.000,10.930,2.492,4.386,-4.634,78.468,-398.419,-46.425,183.654,34.462,724.130,-3886.967,0.000,255.409,-1152.083,670.965,-4846.114,-49.194,13.188,-158.566,188.721
10.000,0.610,nan,11.438,-51.518,0.542,0.000,0.000,0.000,11.170,2.520,4.433,-4.504,80.372,-400.336,-47.280,179.452,26.767,751.947,-4035.881,0.000,256.419,-1156.359,676.645,-4783.196,-46.512,13.310,-160.141,112.732
10.000,0.710,nan,11.477,-52.607,0.529,0.000,0.000,0.000,11.211,2.514,4.459,-4.584,79.750,-406.981,-48.111,182.748,16.703,749.440,-4127.572,0.000,257.429,-1161.649,690.498,-4960.091,-45.678,13.204,-158.910,11.822
10.000,0.810,nan,11.862,-54.575,0.534,0.000,0.000,0.000,11.589,2.586,4.482,-4.601,83.179,-431.799,-49.421,185.959,7.887,828.970,-4910.662,0.000,258.383,-1168.023,760.478,-5680.976,-54.318,14.481,-174.367,-71.325
10.000,0.910,nan,12.308,-57.438,0.695,0.000,0.000,0.000,12.000,2.821,4.254,-4.667,87.053,-468.464,-50.829,186.121,5.191,912.035,-5754.345,0.000,260.081,-1175.050,843.393,-6509.643,-77.504,16.501,-199.026,-99.919
