ALPHA,MACH,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
16.000,0.010,nan,18.865,-90.387,0.978,0.000,0.000,0.000,17.864,6.140,2.909,-4.791,77.821,-405.613,-34.072,97.391,226.726,599.064,-2365.344,0.000,269.468,-1140.909,643.663,-4568.217,-47.660,31.606,-379.421,1020.227
16.000,0.110,nan,18.974,-90.693,0.662,0.000,0.000,0.000,18.056,5.866,3.078,-4.780,78.087,-407.742,-34.501,98.457,204.322,604.022,-2391.354,0.000,271.859,-1141.186,647.304,-4589.711,-44.047,31.853,-382.410,879.002
16.000,0.210,nan,19.098,-91.590,0.605,0.000,0.000,0.000,18.192,5.845,3.112,-4.796,78.385,-409.760,-34.635,98.741,181.113,606.642,-2379.448,0.000,274.250,-1142.136,648.514,-4599.341,-38.590,32.574,-391.134,732.256
16.000,0.310,nan,19.217,-92.416,0.573,0.000,0.000,0.000,18.315,5.848,3.132,-4.809,78.724,-411.750,-34.707,98.881,157.733,616.499,-2448.085,0.000,276.641,-1143.780,652.335,-4642.474,-30.900,33.194,-398.681,586.229
16.000,0.410,nan,19.357,-93.373,0.551,0.000,0.000,0.000,18.456,5.865,3.147,-4.824,79.142,-413.983,-34.765,98.874,134.347,631.770,-2575.040,0.000,279.032,-1146.159,658.665,-4713.186,-24.967,33.913,-407.476,440.459
16.000,0.510,nan,19.535,-94.552,0.534,0.000,0.000,0.000,18.631,5.898,3.159,-4.840,79.668,-416.514,-34.813,98.628,110.928,652.418,-2757.414,0.000,281.423,-1149.330,667.695,-4811.494,-24.485,34.827,-418.680,293.976
16.000,0.610,nan,19.980,-94.470,0.519,0.000,0.000,0.000,19.063,6.006,3.174,-4.728,81.466,-418.724,-35.579,97.073,89.895,690.446,-3021.402,0.000,283.814,-1153.367,678.252,-4815.399,-41.186,35.298,-424.609,161.941
16.000,0.710,nan,19.903,-95.870,0.506,0.000,0.000,0.000,18.992,5.973,3.180,-4.817,80.314,-419.091,-36.469,103.308,61.459,695.468,-3113.485,0.000,291.204,-1158.115,686.378,-5004.734,-59.375,35.775,-430.476,-16.550
16.000,0.810,nan,20.709,-101.036,0.511,0.000,0.000,0.000,19.766,6.199,3.189,-4.879,85.402,-460.286,-37.257,104.524,38.436,784.848,-3885.660,0.000,299.186,-1163.872,755.144,-5777.145,-108.033,39.350,-473.713,-167.847
16.000,0.910,nan,21.601,-108.179,0.670,0.000,0.000,0.000,20.579,6.598,3.119,-5.008,90.201,-508.128,-38.172,104.252,30.438,868.248,-4662.549,0.000,305.626,-1170.621,840.581,-6658.970,-184.946,45.215,-545.255,-234.634
16.000,1.010,nan,24.015,-134.004,0.888,0.000,0.000,0.000,22.840,7.473,3.056,-5.580,103.776,-657.639,-39.152,99.218,60.512,1071.009,-6546.079,0.000,331.351,-1177.493,1056.412,-9112.093,-304.779,63.085,-772.200,-97.478
16.000,1.110,nan,22.244,-120.605,0.979,0.000,0.000,0.000,21.112,7.073,2.985,-5.422,94.984,-576.211,-38.905,105.077,60.790,1023.946,-6087.609,0.000,349.077,-1188.493,946.371,-8171.878,-225.190,50.003,-613.029,-78.135
16.000,1.210,nan,20.807,-111.390,0.898,0.000,0.000,0.000,19.753,6.599,2.993,-5.354,88.422,-524.102,-37.774,104.166,62.543,987.890,-7910.413,0.000,354.550,-1821.954,872.346,-7284.758,-174.574,42.174,-517.338,-51.127
16.000,1.310,nan,20.023,-104.788,0.846,0.000,0.000,0.000,19.015,6.332,3.003,-5.233,84.413,-487.491,-38.049,103.383,62.327,976.012,-7942.834,0.000,372.312,-1891.736,840.457,-7017.268,-157.953,36.333,-445.852,-36.317
16.000,1.410,nan,18.716,-95.343,0.818,0.000,0.000,0.000,17.766,5.945,2.988,-5.094,79.058,-437.699,-37.592,106.394,56.846,937.849,-7676.813,0.000,390.418,-1962.867,748.087,-6099.583,-129.730,28.497,-349.760,-37.631
16.000,1.510,nan,18.029,-89.623,0.789,0.000,0.000,0.000,17.113,5.728,2.988,-4.971,77.269,-415.323,-37.056,104.438,55.105,936.011,-7746.317,0.000,410.256,-2040.804,692.725,-5549.779,-118.605,24.326,-298.625,-28.904
16.000,1.610,nan,17.546,-86.012,0.773,0.000,0.000,0.000,16.653,5.580,2.985,-4.902,75.709,-400.007,-36.526,102.100,49.478,919.535,-7671.480,0.000,421.954,-2086.763,656.984,-5208.135,-112.531,21.961,-269.638,-46.849
16.000,1.710,nan,17.236,-83.603,0.764,0.000,0.000,0.000,16.357,5.485,2.982,-4.851,74.886,-390.209,-36.350,101.631,44.873,912.587,-7685.125,0.000,433.534,-2132.258,631.467,-4966.489,-108.572,20.046,-246.149,-61.706
16.000,1.810,nan,16.983,-81.744,0.764,0.000,0.000,0.000,16.114,5.415,2.976,-4.813,72.597,-376.913,-36.176,100.993,40.937,882.067,-7463.395,0.000,421.613,-2085.422,643.696,-5121.313,-107.263,18.067,-221.874,-75.134
16.000,1.910,nan,16.704,-79.811,0.749,0.000,0.000,0.000,15.850,5.325,2.977,-4.778,72.416,-384.093,-36.057,100.893,37.376,876.740,-7483.009,0.000,428.456,-2112.306,630.234,-5016.163,-105.390,16.368,-201.019,-85.034
16.000,2.010,nan,16.357,-77.046,0.725,0.000,0.000,0.000,15.524,5.206,2.982,-4.710,69.694,-360.979,-35.941,101.135,33.705,871.877,-7500.197,0.000,436.024,-2142.039,610.057,-4829.910,-101.715,14.885,-182.808,-96.984
16.000,2.110,nan,15.933,-74.336,0.702,0.000,0.000,0.000,15.122,5.066,2.985,-4.666,65.661,-334.380,-35.389,101.560,30.655,826.305,-7084.138,0.000,418.235,-2072.151,613.061,-4889.683,-92.498,13.428,-164.919,-104.899
16.000,2.210,nan,15.511,-71.868,0.681,0.000,0.000,0.000,14.722,4.929,2.987,-4.634,61.445,-310.095,-34.749,101.302,27.908,771.331,-6572.740,0.000,394.127,-1977.437,621.727,-5008.730,-85.415,12.131,-148.995,-110.946
