XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
5.500,2.000,0.010,-20.000,nan,6.810,6.146,2.600,0.000,0.000,0.000,6.715,2.836,2.368,0.902,50.254,363.706,-52.320,-312.621,-1.012,-782.013,-5754.954,-9.418,219.316,784.464,-500.643,-6364.741,-47.714,1.801,-1.840,-181.530
5.500,2.000,0.010,-19.000,nan,6.712,6.246,2.487,0.000,0.000,0.000,6.621,2.720,2.434,0.931,50.829,363.117,-52.320,-312.621,-1.090,-777.713,-5759.347,-7.703,219.316,784.464,-500.643,-6364.741,-50.838,1.801,-1.840,-187.308
5.500,2.000,0.010,-18.000,nan,6.588,6.373,2.372,0.000,0.000,0.000,6.501,2.600,2.500,0.967,51.499,362.431,-52.320,-312.621,-1.153,-771.811,-5765.378,-5.705,219.316,784.464,-500.643,-6364.741,-53.797,1.801,-1.840,-191.096
5.500,2.000,0.010,-17.000,nan,6.441,6.523,2.256,0.000,0.000,0.000,6.359,2.479,2.565,1.013,52.038,361.879,-52.320,-312.621,-1.183,-764.415,-5772.935,-3.524,219.316,784.464,-500.643,-6364.741,-55.425,1.801,-1.840,-194.336
5.500,2.000,0.010,-16.000,nan,6.276,6.692,2.140,0.000,0.000,0.000,6.198,2.358,2.628,1.066,52.485,361.420,-52.320,-312.621,-1.193,-755.663,-5781.876,-1.259,219.316,784.464,-500.643,-6364.741,-55.986,1.801,-1.840,-196.169
5.500,2.000,0.010,-15.000,nan,6.093,6.879,2.027,0.000,0.000,0.000,6.019,2.238,2.689,1.129,52.934,360.959,-52.320,-312.621,-1.190,-745.533,-5792.227,1.037,219.316,784.464,-500.643,-6364.741,-55.832,1.801,-1.840,-194.749
5.500,2.000,0.010,-14.000,nan,5.892,7.085,1.916,0.000,0.000,0.000,5.821,2.121,2.745,1.202,53.381,360.500,-52.320,-312.621,-1.173,-733.973,-5804.038,3.316,219.316,784.464,-500.643,-6364.741,-54.922,1.801,-1.840,-189.968
5.500,2.000,0.010,-13.000,nan,5.673,7.308,1.809,0.000,0.000,0.000,5.607,2.006,2.795,1.288,53.783,360.087,-52.320,-312.621,-1.136,-720.831,-5817.465,5.544,219.316,784.464,-500.643,-6364.741,-53.139,1.801,-1.840,-181.989
5.500,2.000,0.010,-12.000,nan,5.440,7.546,1.706,0.000,0.000,0.000,5.377,1.895,2.838,1.387,54.134,359.726,-52.320,-312.621,-1.083,-705.716,-5832.909,7.724,219.316,784.464,-500.643,-6364.741,-49.901,1.801,-1.841,-171.241
5.500,2.000,0.010,-11.000,nan,5.192,7.799,1.608,0.000,0.000,0.000,5.133,1.788,2.871,1.502,54.483,359.367,-52.320,-312.621,-0.970,-688.150,-5850.856,9.848,219.316,784.464,-500.643,-6364.741,-45.733,1.801,-1.841,-155.706
5.500,2.000,0.010,-10.000,nan,4.929,8.068,1.516,0.000,0.000,0.000,4.874,1.687,2.890,1.637,54.854,358.986,-52.320,-312.621,-0.898,-667.586,-5871.867,11.890,219.316,784.464,-500.643,-6364.741,-40.496,1.801,-1.841,-136.380
5.500,2.000,0.010,-9.000,nan,4.652,8.351,1.429,0.000,0.000,0.000,4.599,1.591,2.891,1.795,55.204,358.625,-52.320,-312.621,-0.766,-643.679,-5896.294,13.768,219.316,784.464,-500.643,-6364.741,-34.543,1.801,-1.840,-114.834
5.500,2.000,0.010,-8.000,nan,4.362,8.648,1.350,0.000,0.000,0.000,4.312,1.501,2.872,1.983,55.483,358.337,-52.320,-312.621,-0.508,-617.532,-5923.009,15.214,219.316,784.464,-500.643,-6364.741,-26.402,1.801,-1.840,-92.135
