XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
5.500,12.000,0.010,-20.000,nan,16.955,81.367,2.710,0.000,0.000,0.000,16.021,6.176,2.594,4.799,56.301,482.993,-37.650,-307.097,120.053,-728.898,-5217.327,-16.164,257.180,783.076,-495.552,-6141.237,-117.194,11.779,-12.002,782.012
5.500,12.000,0.010,-19.000,nan,17.022,81.300,2.637,0.000,0.000,0.000,16.101,6.118,2.632,4.776,60.457,478.762,-37.650,-307.097,114.905,-732.450,-5213.708,-16.277,257.180,783.076,-495.552,-6141.237,-133.400,11.779,-12.002,753.604
5.500,12.000,0.010,-18.000,nan,17.019,81.302,2.544,0.000,0.000,0.000,16.118,6.027,2.674,4.777,63.765,475.391,-37.650,-307.097,111.123,-732.186,-5213.978,-15.290,257.180,783.076,-495.552,-6141.237,-150.703,11.779,-12.002,721.497
5.500,12.000,0.010,-17.000,nan,16.968,81.354,2.441,0.000,0.000,0.000,16.090,5.916,2.720,4.795,66.039,473.075,-37.650,-307.097,108.860,-729.064,-5217.158,-13.618,257.180,783.076,-495.552,-6141.237,-169.527,11.779,-12.002,688.204
5.500,12.000,0.010,-16.000,nan,16.889,81.435,2.334,0.000,0.000,0.000,16.035,5.795,2.767,4.822,67.259,471.830,-37.650,-307.097,108.096,-724.069,-5222.248,-11.618,257.180,783.076,-495.551,-6141.238,-190.451,11.779,-12.002,658.165
5.500,12.000,0.010,-15.000,nan,16.802,81.523,2.228,0.000,0.000,0.000,15.972,5.673,2.815,4.852,67.493,471.591,-37.650,-307.097,108.263,-718.136,-5228.293,-9.576,257.180,783.076,-495.551,-6141.238,-213.494,11.779,-12.002,635.883
5.500,12.000,0.010,-14.000,nan,16.707,81.620,2.125,0.000,0.000,0.000,15.901,5.552,2.864,4.885,67.772,471.305,-37.650,-307.097,107.830,-711.097,-5235.465,-7.496,257.180,783.076,-495.551,-6141.238,-240.078,11.779,-12.002,621.672
5.500,12.000,0.010,-13.000,nan,16.593,81.737,2.021,0.000,0.000,0.000,15.810,5.426,2.914,4.926,68.700,470.357,-37.650,-307.097,106.811,-701.831,-5244.906,-5.217,257.180,783.076,-495.551,-6141.238,-267.862,11.779,-12.002,613.564
5.500,12.000,0.010,-12.000,nan,16.452,81.880,1.916,0.000,0.000,0.000,15.694,5.295,2.964,4.977,69.900,469.132,-37.650,-307.097,106.016,-689.509,-5257.461,-2.693,257.180,783.076,-495.551,-6141.238,-292.345,11.779,-12.002,609.437
5.500,12.000,0.010,-11.000,nan,16.289,82.047,1.813,0.000,0.000,0.000,15.556,5.160,3.015,5.037,70.882,468.129,-37.650,-307.097,105.655,-673.806,-5273.461,-0.003,257.180,783.076,-495.551,-6141.238,-310.581,11.779,-12.002,607.274
5.500,12.000,0.010,-10.000,nan,16.107,82.232,1.712,0.000,0.000,0.000,15.399,5.024,3.065,5.105,71.678,467.314,-37.650,-307.097,105.557,-654.543,-5293.089,2.734,257.180,783.076,-495.551,-6141.238,-315.444,11.779,-12.002,606.540
5.500,12.000,0.010,-9.000,nan,15.907,82.435,1.615,0.000,0.000,0.000,15.224,4.887,3.115,5.182,72.458,466.516,-37.650,-307.097,105.615,-632.722,-5315.323,5.240,257.180,783.076,-495.551,-6141.238,-309.689,11.779,-12.002,608.804
5.500,12.000,0.010,-8.000,nan,15.689,82.657,1.522,0.000,0.000,0.000,15.030,4.750,3.164,5.268,73.236,465.720,-37.650,-307.097,105.873,-610.044,-5338.429,7.218,257.180,783.076,-495.551,-6141.238,-295.800,11.779,-12.002,614.920
5.500,12.000,0.010,-7.000,nan,15.455,82.896,1.434,0.000,0.000,0.000,14.819,4.615,3.211,5.364,73.942,464.998,-37.650,-307.097,106.378,-588.300,-5360.584,8.457,257.180,783.076,-495.551,-6141.238,-278.095,11.779,-12.002,624.604
5.500,12.000,0.010,-6.000,nan,15.206,83.149,1.351,0.000,0.000,0.000,14.593,4.483,3.255,5.468,74.553,464.370,-37.650,-307.097,107.099,-569.320,-5379.923,8.847,257.180,783.076,-495.551,-6141.238,-258.758,11.779,-12.002,639.768
