XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
1.000,4.000,0.010,-20.000,nan,8.604,-107.829,2.633,0.000,0.000,0.000,8.400,3.226,2.603,-12.532,54.246,-398.089,-51.496,445.830,1.970,900.682,-5920.836,-5.234,227.569,-1848.164,1111.386,-10258.860,-3.530,4.135,-65.269,-89.977
1.000,4.000,0.010,-19.000,nan,8.522,-106.535,2.523,0.000,0.000,0.000,8.326,3.111,2.676,-12.501,54.423,-400.873,-51.496,445.830,1.889,903.277,-5961.808,-4.224,227.569,-1848.164,1111.386,-10258.860,0.798,4.135,-65.269,-102.416
1.000,4.000,0.010,-18.000,nan,8.421,-104.931,2.411,0.000,0.000,0.000,8.232,2.993,2.751,-12.461,54.858,-407.747,-51.496,445.830,1.700,907.080,-6021.833,-2.980,227.569,-1848.164,1111.386,-10258.860,4.823,4.135,-65.269,-109.578
1.000,4.000,0.010,-17.000,nan,8.293,-102.918,2.297,0.000,0.000,0.000,8.113,2.870,2.826,-12.410,55.328,-415.168,-51.496,445.830,1.555,912.263,-6103.655,-1.514,227.569,-1848.164,1111.386,-10258.860,9.227,4.135,-65.269,-113.540
1.000,4.000,0.010,-16.000,nan,8.143,-100.554,2.183,0.000,0.000,0.000,7.971,2.746,2.903,-12.348,55.701,-421.052,-51.496,445.830,1.489,918.499,-6202.090,0.036,227.569,-1848.164,1111.386,-10258.860,12.767,4.135,-65.269,-116.167
1.000,4.000,0.010,-15.000,nan,7.975,-97.897,2.070,0.000,0.000,0.000,7.811,2.622,2.980,-12.275,56.016,-426.022,-51.496,445.830,1.468,925.490,-6312.438,1.558,227.569,-1848.164,1111.386,-10258.860,14.316,4.135,-65.269,-117.596
1.000,4.000,0.010,-14.000,nan,7.789,-94.954,1.960,0.000,0.000,0.000,7.633,2.498,3.056,-12.191,56.333,-431.034,-51.496,445.830,1.476,933.274,-6435.310,3.030,227.569,-1848.164,1111.386,-10258.860,13.892,4.135,-65.269,-115.603
1.000,4.000,0.010,-13.000,nan,7.584,-91.726,1.852,0.000,0.000,0.000,7.436,2.376,3.130,-12.094,56.646,-435.979,-51.496,445.830,1.520,941.978,-6572.707,4.441,227.569,-1848.164,1111.386,-10258.860,11.808,4.135,-65.269,-110.133
1.000,4.000,0.010,-12.000,nan,7.363,-88.232,1.747,0.000,0.000,0.000,7.223,2.257,3.201,-11.984,56.924,-440.368,-51.496,445.830,1.610,951.666,-6725.636,5.765,227.569,-1848.164,1111.386,-10258.860,7.305,4.135,-65.269,-101.097
1.000,4.000,0.010,-11.000,nan,7.126,-84.502,1.648,0.000,0.000,0.000,6.994,2.141,3.267,-11.857,57.165,-444.186,-51.496,445.830,1.739,962.374,-6894.663,6.966,227.569,-1848.164,1111.386,-10258.860,1.134,4.135,-65.269,-87.550
1.000,4.000,0.010,-10.000,nan,6.876,-80.545,1.553,0.000,0.000,0.000,6.751,2.029,3.327,-11.714,57.410,-448.044,-51.496,445.830,2.008,974.169,-7080.846,8.012,227.569,-1848.164,1111.386,-10258.860,-7.248,4.135,-65.269,-70.774
1.000,4.000,0.010,-9.000,nan,6.610,-76.353,1.465,0.000,0.000,0.000,6.492,1.922,3.377,-11.551,57.669,-452.137,-51.496,445.830,2.182,987.131,-7285.454,8.868,227.569,-1848.164,1111.386,-10258.860,-18.374,4.135,-65.269,-48.428
