XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
1.000,2.000,0.010,-20.000,nan,6.810,-94.400,2.600,0.000,0.000,0.000,6.715,2.836,2.368,-13.861,50.254,-378.226,-52.320,459.825,-1.012,873.621,-5876.104,-3.697,219.316,-1854.145,1120.742,-10340.380,-2.374,1.801,-28.435,-181.530
1.000,2.000,0.010,-19.000,nan,6.712,-92.847,2.487,0.000,0.000,0.000,6.621,2.720,2.434,-13.833,50.829,-387.307,-52.320,459.825,-1.090,877.084,-5930.771,-2.525,219.316,-1854.145,1120.742,-10340.380,0.730,1.801,-28.435,-187.308
1.000,2.000,0.010,-18.000,nan,6.588,-90.887,2.372,0.000,0.000,0.000,6.501,2.600,2.500,-13.796,51.499,-397.893,-52.320,459.825,-1.153,882.046,-6009.101,-1.068,219.316,-1854.145,1120.742,-10340.380,3.665,1.801,-28.435,-191.096
1.000,2.000,0.010,-17.000,nan,6.441,-88.574,2.256,0.000,0.000,0.000,6.359,2.479,2.565,-13.751,52.038,-406.393,-52.320,459.825,-1.183,888.191,-6106.101,0.527,219.316,-1854.145,1120.742,-10340.380,5.275,1.801,-28.435,-194.336
1.000,2.000,0.010,-16.000,nan,6.276,-85.968,2.140,0.000,0.000,0.000,6.198,2.358,2.628,-13.698,52.485,-413.460,-52.320,459.825,-1.193,895.190,-6216.587,2.131,219.316,-1854.145,1120.742,-10340.380,5.828,1.801,-28.435,-196.169
1.000,2.000,0.010,-15.000,nan,6.093,-83.076,2.027,0.000,0.000,0.000,6.019,2.238,2.689,-13.635,52.934,-420.549,-52.320,459.825,-1.190,902.918,-6338.574,3.680,219.316,-1854.145,1120.742,-10340.380,5.677,1.801,-28.435,-194.749
1.000,2.000,0.010,-14.000,nan,5.892,-79.898,1.916,0.000,0.000,0.000,5.821,2.121,2.745,-13.561,53.381,-427.609,-52.320,459.825,-1.173,911.457,-6473.368,5.160,219.316,-1854.145,1120.742,-10340.380,4.776,1.801,-28.435,-189.968
1.000,2.000,0.010,-13.000,nan,5.673,-76.453,1.809,0.000,0.000,0.000,5.607,2.006,2.795,-13.476,53.783,-433.956,-52.320,459.825,-1.136,920.872,-6621.989,6.551,219.316,-1854.145,1120.742,-10340.380,3.010,1.801,-28.435,-181.989
1.000,2.000,0.010,-12.000,nan,5.440,-72.769,1.706,0.000,0.000,0.000,5.377,1.895,2.838,-13.377,54.134,-439.496,-52.320,459.825,-1.083,931.199,-6785.001,7.821,219.316,-1854.145,1120.742,-10340.380,-0.192,1.801,-28.435,-171.241
1.000,2.000,0.010,-11.000,nan,5.192,-68.858,1.608,0.000,0.000,0.000,5.133,1.788,2.871,-13.262,54.483,-445.008,-52.320,459.825,-0.970,942.531,-6963.894,8.949,219.316,-1854.145,1120.742,-10340.380,-4.329,1.801,-28.435,-155.706
1.000,2.000,0.010,-10.000,nan,4.929,-64.710,1.516,0.000,0.000,0.000,4.874,1.687,2.890,-13.127,54.854,-450.863,-52.320,459.825,-0.898,954.991,-7160.576,9.909,219.316,-1854.145,1120.742,-10340.380,-9.506,1.801,-28.435,-136.380
1.000,2.000,0.010,-9.000,nan,4.652,-60.329,1.429,0.000,0.000,0.000,4.599,1.591,2.891,-12.969,55.204,-456.395,-52.320,459.825,-0.766,968.613,-7375.606,10.660,219.316,-1854.145,1120.742,-10340.380,-15.381,1.801,-28.435,-114.834
1.000,2.000,0.010,-8.000,nan,4.362,-55.751,1.350,0.000,0.000,0.000,4.312,1.501,2.872,-12.781,55.483,-460.796,-52.320,459.825,-0.508,983.327,-7607.871,11.145,219.316,-1854.145,1120.742,-10340.380,-23.472,1.801,-28.435,-92.135
1.000,2.000,0.010,-7.000,nan,4.062,-51.020,1.278,0.000,0.000,0.000,4.015,1.419,2.829,-12.560,55.687,-464.020,-52.320,459.825,-0.435,999.044,-7855.977,11.311,219.316,-1854.145,1120.742,-10340.380,-33.874,1.801,-28.435,-72.094
