XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
1.000,6.000,0.010,-20.000,nan,10.535,-121.978,2.655,0.000,0.000,0.000,10.200,3.741,2.726,-11.578,58.188,-423.802,-49.330,411.121,15.783,917.316,-5907.634,-6.221,235.519,-1844.076,1102.108,-10165.430,-8.993,6.899,-108.895,79.043
1.000,6.000,0.010,-19.000,nan,10.458,-120.754,2.545,0.000,0.000,0.000,10.134,3.624,2.796,-11.547,58.204,-424.053,-49.330,411.121,15.811,919.617,-5943.949,-5.242,235.519,-1844.076,1102.108,-10165.430,5.637,6.899,-108.895,58.389
1.000,6.000,0.010,-18.000,nan,10.369,-119.360,2.436,0.000,0.000,0.000,10.058,3.506,2.869,-11.511,58.422,-427.501,-49.330,411.121,15.614,922.705,-5992.706,-4.132,235.519,-1844.076,1102.108,-10165.430,14.573,6.899,-108.895,45.404
1.000,6.000,0.010,-17.000,nan,10.258,-117.605,2.324,0.000,0.000,0.000,9.959,3.384,2.943,-11.465,58.828,-433.904,-49.330,411.121,15.288,927.049,-6061.263,-2.809,235.519,-1844.076,1102.108,-10165.430,19.988,6.899,-108.895,38.156
1.000,6.000,0.010,-16.000,nan,10.121,-115.449,2.212,0.000,0.000,0.000,9.835,3.257,3.019,-11.406,59.194,-439.686,-49.330,411.121,15.079,932.627,-6149.321,-1.335,235.519,-1844.076,1102.108,-10165.430,24.030,6.899,-108.895,34.614
1.000,6.000,0.010,-15.000,nan,9.964,-112.963,2.099,0.000,0.000,0.000,9.690,3.129,3.097,-11.337,59.480,-444.194,-49.330,411.121,14.996,939.090,-6251.334,0.159,235.519,-1844.076,1102.108,-10165.430,27.624,6.899,-108.895,32.834
1.000,6.000,0.010,-14.000,nan,9.788,-110.190,1.989,0.000,0.000,0.000,9.527,3.001,3.175,-11.257,59.740,-448.312,-49.330,411.121,14.975,946.330,-6365.617,1.614,235.519,-1844.076,1102.108,-10165.430,29.450,6.899,-108.895,33.091
1.000,6.000,0.010,-13.000,nan,9.594,-107.130,1.880,0.000,0.000,0.000,9.345,2.873,3.253,-11.166,60.004,-452.476,-49.330,411.121,15.004,954.471,-6494.115,3.021,235.519,-1844.076,1102.108,-10165.430,27.751,6.899,-108.895,36.094
1.000,6.000,0.010,-12.000,nan,9.383,-103.788,1.776,0.000,0.000,0.000,9.146,2.747,3.330,-11.062,60.255,-456.436,-49.330,411.121,15.100,963.627,-6638.639,4.362,235.519,-1844.076,1102.108,-10165.430,22.875,6.899,-108.895,43.485
1.000,6.000,0.010,-11.000,nan,9.155,-100.189,1.675,0.000,0.000,0.000,8.929,2.623,3.405,-10.944,60.472,-459.877,-49.330,411.121,15.273,973.846,-6799.938,5.602,235.519,-1844.076,1102.108,-10165.430,14.879,6.899,-108.895,55.114
1.000,6.000,0.010,-10.000,nan,8.912,-96.361,1.579,0.000,0.000,0.000,8.698,2.502,3.477,-10.812,60.666,-462.944,-49.330,411.121,15.507,985.150,-6978.363,6.701,235.519,-1844.076,1102.108,-10165.430,4.028,6.899,-108.895,71.132
1.000,6.000,0.010,-9.000,nan,8.655,-92.305,1.489,0.000,0.000,0.000,8.452,2.386,3.543,-10.665,60.870,-466.162,-49.330,411.121,15.971,997.589,-7174.707,7.619,235.519,-1844.076,1102.108,-10165.430,-11.362,6.899,-108.895,92.399
