XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
2.100,6.000,0.010,-25.000,nan,10.485,-83.350,3.095,0.000,0.000,0.000,10.104,4.174,2.421,-7.949,53.871,-161.248,-49.330,233.093,20.570,492.203,-1511.164,-4.023,235.519,-1176.406,678.062,-4926.011,-79.621,6.899,-83.998,224.473
2.100,6.000,0.010,-24.000,nan,10.615,-84.934,3.048,0.000,0.000,0.000,10.239,4.141,2.472,-8.001,55.250,-178.036,-49.330,233.093,18.932,483.684,-1407.438,-6.922,235.519,-1176.406,678.062,-4926.011,-56.904,6.899,-83.998,200.968
2.100,6.000,0.010,-23.000,nan,10.667,-85.565,2.972,0.000,0.000,0.000,10.298,4.070,2.530,-8.021,56.506,-193.322,-49.330,233.093,17.478,478.895,-1349.127,-8.250,235.519,-1176.406,678.062,-4926.011,-33.470,6.899,-83.998,172.523
2.100,6.000,0.010,-22.000,nan,10.658,-85.454,2.875,0.000,0.000,0.000,10.299,3.973,2.592,-8.018,57.419,-204.436,-49.330,233.093,16.456,477.158,-1327.980,-8.422,235.519,-1176.406,678.062,-4926.011,-15.538,6.899,-83.998,140.390
2.100,6.000,0.010,-21.000,nan,10.607,-84.837,2.766,0.000,0.000,0.000,10.260,3.860,2.658,-7.998,57.982,-211.290,-49.330,233.093,15.896,477.702,-1334.605,-7.833,235.519,-1176.406,678.062,-4926.011,-5.310,6.899,-83.998,107.706
2.100,6.000,0.010,-20.000,nan,10.535,-83.957,2.655,0.000,0.000,0.000,10.200,3.741,2.726,-7.969,58.188,-213.805,-49.330,233.093,15.783,479.684,-1358.738,-6.841,235.519,-1176.406,678.062,-4926.011,-0.820,6.899,-83.998,79.043
2.100,6.000,0.010,-19.000,nan,10.458,-83.014,2.545,0.000,0.000,0.000,10.134,3.624,2.796,-7.938,58.204,-213.999,-49.330,233.093,15.811,482.225,-1389.668,-5.761,235.519,-1176.406,678.062,-4926.011,1.465,6.899,-83.998,58.389
2.100,6.000,0.010,-18.000,nan,10.369,-81.938,2.436,0.000,0.000,0.000,10.058,3.506,2.869,-7.902,58.422,-216.659,-49.330,233.093,15.614,485.461,-1429.073,-4.582,235.519,-1176.406,678.062,-4926.011,4.317,6.899,-83.998,45.404
2.100,6.000,0.010,-17.000,nan,10.258,-80.584,2.324,0.000,0.000,0.000,9.959,3.384,2.943,-7.856,58.828,-221.599,-49.330,233.093,15.288,489.858,-1482.609,-3.220,235.519,-1176.406,678.062,-4926.011,8.288,6.899,-83.998,38.156
2.100,6.000,0.010,-16.000,nan,10.121,-78.922,2.212,0.000,0.000,0.000,9.835,3.257,3.019,-7.797,59.194,-226.059,-49.330,233.093,15.079,495.397,-1550.051,-1.730,235.519,-1176.406,678.062,-4926.011,11.813,6.899,-83.998,34.614
2.100,6.000,0.010,-15.000,nan,9.964,-77.004,2.099,0.000,0.000,0.000,9.690,3.129,3.097,-7.728,59.480,-229.537,-49.330,233.093,14.996,501.818,-1628.231,-0.219,235.519,-1176.406,678.062,-4926.011,13.761,6.899,-83.998,32.834
2.100,6.000,0.010,-14.000,nan,9.788,-74.864,1.989,0.000,0.000,0.000,9.527,3.001,3.175,-7.648,59.740,-232.714,-49.330,233.093,14.975,509.096,-1716.843,1.270,235.519,-1176.406,678.062,-4926.011,14.260,6.899,-83.998,33.091
2.100,6.000,0.010,-13.000,nan,9.594,-72.504,1.880,0.000,0.000,0.000,9.345,2.873,3.253,-7.557,60.004,-235.926,-49.330,233.093,15.004,517.356,-1817.414,2.725,235.519,-1176.406,678.062,-4926.011,13.615,6.899,-83.998,36.094
