XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
2.200,-2.000,0.010,-25.000,nan,3.971,-60.153,3.078,0.000,0.000,0.000,4.076,2.938,1.387,-15.149,46.112,-160.334,-52.688,255.142,0.958,322.322,-902.968,-4.648,215.088,-1122.285,661.079,-4629.217,0.715,-1.801,21.343,-132.116
2.200,-2.000,0.010,-24.000,nan,3.908,-59.411,2.963,0.000,0.000,0.000,4.009,2.825,1.419,-15.202,46.554,-165.566,-52.688,255.142,0.981,323.376,-915.453,-4.055,215.088,-1122.285,661.079,-4629.217,0.215,-1.801,21.343,-155.007
2.200,-2.000,0.010,-23.000,nan,3.840,-58.608,2.849,0.000,0.000,0.000,3.938,2.713,1.451,-15.261,46.602,-166.136,-52.688,255.142,0.977,324.685,-930.970,-3.413,215.088,-1122.285,661.079,-4629.217,0.221,-1.801,21.343,-170.678
2.200,-2.000,0.010,-22.000,nan,3.761,-57.670,2.735,0.000,0.000,0.000,3.854,2.602,1.481,-15.332,46.987,-170.695,-52.688,255.142,1.028,326.762,-955.576,-2.564,215.088,-1122.285,661.079,-4629.217,-0.785,-1.801,21.343,-180.377
2.200,-2.000,0.010,-21.000,nan,3.659,-56.459,2.618,0.000,0.000,0.000,3.748,2.488,1.506,-15.430,47.731,-179.514,-52.688,255.142,1.108,330.344,-998.013,-1.315,215.088,-1122.285,661.079,-4629.217,-2.305,-1.801,21.343,-186.096
2.200,-2.000,0.010,-20.000,nan,3.532,-54.952,2.497,0.000,0.000,0.000,3.617,2.372,1.525,-15.559,48.439,-187.905,-52.688,255.142,1.158,335.461,-1058.643,0.272,215.088,-1122.285,661.079,-4629.217,-3.295,-1.801,21.343,-189.890
2.200,-2.000,0.010,-19.000,nan,3.384,-53.202,2.376,0.000,0.000,0.000,3.465,2.257,1.536,-15.721,49.005,-194.607,-52.688,255.142,1.178,341.764,-1133.331,2.027,215.088,-1122.285,661.079,-4629.217,-3.705,-1.801,21.343,-193.154
2.200,-2.000,0.010,-18.000,nan,3.218,-51.236,2.256,0.000,0.000,0.000,3.295,2.142,1.538,-15.920,49.518,-200.688,-52.688,255.142,1.184,348.993,-1218.977,3.828,215.088,-1122.285,661.079,-4629.217,-3.814,-1.801,21.343,-195.002
2.200,-2.000,0.010,-17.000,nan,3.034,-49.053,2.137,0.000,0.000,0.000,3.107,2.030,1.531,-16.168,50.041,-206.877,-52.688,255.142,1.177,357.009,-1313.956,5.601,215.088,-1122.285,661.079,-4629.217,-3.678,-1.801,21.343,-193.600
2.200,-2.000,0.010,-16.000,nan,2.832,-46.657,2.020,0.000,0.000,0.000,2.901,1.920,1.510,-16.476,50.548,-212.886,-52.688,255.142,1.153,365.758,-1417.627,7.299,215.088,-1122.285,661.079,-4629.217,-3.208,-1.801,21.343,-188.890
2.200,-2.000,0.010,-15.000,nan,2.613,-44.067,1.907,0.000,0.000,0.000,2.678,1.815,1.476,-16.863,51.000,-218.237,-52.688,255.142,1.111,375.273,-1530.365,8.899,215.088,-1122.285,661.079,-4629.217,-2.372,-1.801,21.343,-180.993
