XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
1.500,8.000,0.010,-20.000,nan,12.630,-116.790,2.682,0.000,0.000,0.000,12.134,4.414,2.749,-9.247,63.487,-376.795,-46.783,294.058,36.849,738.221,-3490.871,-6.843,243.127,-1537.632,899.991,-7323.714,-28.397,9.798,-138.585,284.149
1.500,8.000,0.010,-19.000,nan,12.554,-115.721,2.571,0.000,0.000,0.000,12.074,4.293,2.812,-9.218,64.110,-385.615,-46.783,294.058,36.732,740.048,-3516.701,-5.965,243.127,-1537.632,899.991,-7323.714,-4.324,9.798,-138.585,254.653
1.500,8.000,0.010,-18.000,nan,12.474,-114.585,2.462,0.000,0.000,0.000,12.010,4.175,2.877,-9.186,64.168,-386.430,-46.783,294.058,36.746,742.466,-3550.909,-4.992,243.127,-1537.632,899.991,-7323.714,11.848,9.798,-138.585,233.158
1.500,8.000,0.010,-17.000,nan,12.382,-113.280,2.354,0.000,0.000,0.000,11.934,4.055,2.943,-9.149,64.639,-393.102,-46.783,294.058,36.413,745.707,-3596.750,-3.894,243.127,-1537.632,899.991,-7323.714,21.738,9.798,-138.585,219.633
1.500,8.000,0.010,-16.000,nan,12.266,-111.638,2.244,0.000,0.000,0.000,11.834,3.930,3.012,-9.102,65.596,-406.639,-46.783,294.058,35.915,750.222,-3660.607,-2.604,243.127,-1537.632,899.991,-7323.714,27.546,9.798,-138.585,212.187
1.500,8.000,0.010,-15.000,nan,12.125,-109.641,2.133,0.000,0.000,0.000,11.710,3.800,3.082,-9.043,66.529,-419.824,-46.783,294.058,35.611,755.933,-3741.378,-1.193,243.127,-1537.632,899.991,-7323.714,31.423,9.798,-138.585,208.781
1.500,8.000,0.010,-14.000,nan,11.963,-107.353,2.023,0.000,0.000,0.000,11.565,3.668,3.153,-8.974,67.264,-430.231,-46.783,294.058,35.496,762.500,-3834.254,0.216,243.127,-1537.632,899.991,-7323.714,34.675,9.798,-138.585,207.452
1.500,8.000,0.010,-13.000,nan,11.783,-104.808,1.915,0.000,0.000,0.000,11.402,3.536,3.224,-8.895,67.916,-439.450,-46.783,294.058,35.471,769.865,-3938.426,1.578,243.127,-1537.632,899.991,-7323.714,36.231,9.798,-138.585,208.372
1.500,8.000,0.010,-12.000,nan,11.585,-102.007,1.810,0.000,0.000,0.000,11.220,3.404,3.296,-8.805,68.574,-448.766,-46.783,294.058,35.525,778.158,-4055.713,2.881,243.127,-1537.632,899.991,-7323.714,33.863,9.798,-138.585,212.061
1.500,8.000,0.010,-11.000,nan,11.369,-98.954,1.708,0.000,0.000,0.000,11.021,3.273,3.367,-8.704,69.211,-457.776,-46.783,294.058,35.687,787.487,-4187.662,4.103,243.127,-1537.632,899.991,-7323.714,28.290,9.798,-138.585,219.929
1.500,8.000,0.010,-10.000,nan,11.137,-95.674,1.610,0.000,0.000,0.000,10.805,3.145,3.436,-8.591,69.771,-465.705,-46.783,294.058,35.965,797.895,-4334.875,5.209,243.127,-1537.632,899.991,-7323.714,19.412,9.798,-138.585,233.055
1.500,8.000,0.010,-9.000,nan,10.891,-92.192,1.518,0.000,0.000,0.000,10.574,3.019,3.502,-8.465,70.269,-472.743,-46.783,294.058,36.355,809.397,-4497.553,6.155,243.127,-1537.632,899.991,-7323.714,6.483,9.798,-138.585,249.825
1.500,8.000,0.010,-8.000,nan,10.630,-88.505,1.432,0.000,0.000,0.000,10.327,2.897,3.564,-8.326,70.782,-480.011,-46.783,294.058,37.057,822.045,-4676.439,6.902,243.127,-1537.632,899.991,-7323.714,-9.618,9.798,-138.585,272.520
1.500,8.000,0.010,-7.000,nan,10.355,-84.608,1.352,0.000,0.000,0.000,10.066,2.780,3.621,-8.171,71.320,-487.623,-46.783,294.058,37.841,835.910,-4872.541,7.409,243.127,-1537.632,899.991,-7323.714,-31.342,9.798,-138.585,296.483
1.500,8.000,0.010,-6.000,nan,10.065,-80.517,1.279,0.000,0.000,0.000,9.789,2.667,3.670,-7.999,71.793,-494.322,-46.783,294.058,38.392,850.973,-5085.586,7.625,243.127,-1537.632,899.991,-7323.714,-53.754,9.798,-138.585,320.859
1.500,8.000,0.010,-5.000,nan,9.765,-76.271,1.213,0.000,0.000,0.000,9.501,2.561,3.711,-7.810,72.159,-499.497,-46.783,294.058,39.944,867.187,-5314.901,7.496,243.127,-1537.632,899.991,-7323.714,-76.177,9.798,-138.585,343.529
1.500,8.000,0.010,-4.000,nan,9.457,-71.908,1.156,0.000,0.000,0.000,9.204,2.461,3.740,-7.604,72.411,-503.073,-46.783,294.058,40.530,884.792,-5563.894,6.989,243.127,-1537.632,899.991,-7323.714,-95.525,9.798,-138.585,364.381
1.500,8.000,0.010,-3.000,nan,9.143,-67.471,1.107,0.000,0.000,0.000,8.900,2.369,3.757,-7.380,72.545,-504.973,-46.783,294.058,42.059,904.154,-5837.742,6.060,243.127,-1537.632,899.991,-7323.714,-112.700,9.798,-138.585,382.799
1.500,8.000,0.010,-2.000,nan,8.826,-62.994,1.068,0.000,0.000,0.000,8.592,2.286,3.759,-7.137,72.594,-505.663,-46.783,294.058,42.757,925.668,-6142.034,4.647,243.127,-1537.632,899.991,-7323.714,-126.979,9.798,-138.585,399.271
1.500,8.000,0.010,-1.000,nan,8.507,-58.481,1.037,0.000,0.000,0.000,8.280,2.211,3.746,-6.874,72.643,-506.365,-46.783,294.058,42.652,949.823,-6483.668,2.664,243.127,-1537.632,899.991,-7323.714,-137.777,9.798,-138.585,414.000
1.500,8.000,0.010,0.000,nan,8.186,-53.933,1.015,0.000,0.000,0.000,7.965,2.144,3.715,-6.589,72.699,-507.159,-46.783,294.058,42.425,976.426,-6859.934,0.000,243.127,-1537.632,899.991,-7323.714,-145.858,9.798,-138.585,423.503
1.500,8.000,0.010,1.000,nan,7.862,-49.357,1.002,0.000,0.000,0.000,7.646,2.087,3.665,-6.278,72.738,-507.723,-46.783,294.058,42.224,1003.890,-7248.372,-3.429,243.127,-1537.632,899.991,-7323.714,-147.722,9.798,-138.585,429.299
1.500,8.000,0.010,2.000,nan,7.537,-44.763,0.998,0.000,0.000,0.000,7.325,2.038,3.595,-5.939,72.755,-507.966,-46.783,294.058,42.320,1030.455,-7624.087,-7.611,243.127,-1537.632,899.991,-7323.714,-147.567,9.798,-138.585,430.134
1.500,8.000,0.010,3.000,nan,7.212,-40.162,1.004,0.000,0.000,0.000,7.002,1.998,3.505,-5.569,72.749,-507.893,-46.783,294.058,42.410,1054.363,-7962.233,-12.437,243.127,-1537.632,899.991,-7323.714,-146.068,9.798,-138.585,429.745
1.500,8.000,0.010,4.000,nan,6.887,-35.563,1.019,0.000,0.000,0.000,6.678,1.967,3.395,-5.164,72.721,-507.506,-46.783,294.058,42.555,1074.021,-8240.268,-17.709,243.127,-1537.632,899.991,-7323.714,-145.827,9.798,-138.585,429.565
1.500,8.000,0.010,5.000,nan,6.563,-30.977,1.043,0.000,0.000,0.000,6.354,1.946,3.265,-4.720,72.672,-506.806,-46.783,294.058,42.283,1089.492,-8459.080,-23.253,243.127,-1537.632,899.991,-7323.714,-146.592,9.798,-138.585,429.958
1.500,8.000,0.010,6.000,nan,6.240,-26.415,1.076,0.000,0.000,0.000,6.030,1.934,3.118,-4.233,72.600,-505.797,-46.783,294.058,42.266,1101.842,-8633.753,-28.986,243.127,-1537.632,899.991,-7323.714,-147.712,9.798,-138.585,428.927
1.500,8.000,0.010,7.000,nan,5.920,-21.885,1.118,0.000,0.000,0.000,5.707,1.931,2.956,-3.697,72.506,-504.479,-46.783,294.058,42.391,1112.150,-8779.550,-34.888,243.127,-1537.632,899.991,-7323.714,-146.709,9.798,-138.585,423.581
1.500,8.000,0.010,8.000,nan,5.603,-17.398,1.169,0.000,0.000,0.000,5.386,1.937,2.780,-3.105,72.391,-502.851,-46.783,294.058,42.416,1121.491,-8911.658,-40.996,243.127,-1537.632,899.991,-7323.714,-141.144,9.798,-138.585,414.559
1.500,8.000,0.010,9.000,nan,5.289,-12.965,1.228,0.000,0.000,0.000,5.067,1.952,2.595,-2.451,72.256,-500.947,-46.783,294.058,42.669,1130.508,-9039.195,-47.359,243.127,-1537.632,899.991,-7323.714,-132.431,9.798,-138.585,400.022
1.500,8.000,0.010,10.000,nan,4.980,-8.587,1.296,0.000,0.000,0.000,4.751,1.977,2.403,-1.724,72.123,-499.072,-46.783,294.058,42.125,1138.724,-9155.404,-53.897,243.127,-1537.632,899.991,-7323.714,-119.099,9.798,-138.585,383.875
1.500,8.000,0.010,11.000,nan,4.674,-4.265,1.373,0.000,0.000,0.000,4.438,2.010,2.207,-0.912,71.999,-497.323,-46.783,294.058,41.980,1145.586,-9252.453,-60.496,243.127,-1537.632,899.991,-7323.714,-103.652,9.798,-138.585,365.775
1.500,8.000,0.010,12.000,nan,4.374,-0.015,1.458,0.000,0.000,0.000,4.128,2.053,2.011,-0.003,71.820,-494.802,-46.783,294.058,40.197,1151.072,-9330.044,-67.098,243.127,-1537.632,899.991,-7323.714,-85.533,9.798,-138.585,345.529
1.500,8.000,0.010,13.000,nan,4.081,4.123,1.551,0.000,0.000,0.000,3.825,2.104,1.818,1.010,71.528,-490.675,-46.783,294.058,39.343,1155.297,-9389.809,-73.669,243.127,-1537.632,899.991,-7323.714,-64.905,9.798,-138.585,323.457
1.500,8.000,0.010,14.000,nan,3.799,8.109,1.651,0.000,0.000,0.000,3.533,2.164,1.633,2.134,71.126,-484.992,-46.783,294.058,38.183,1158.244,-9431.483,-80.154,243.127,-1537.632,899.991,-7323.714,-42.536,9.798,-138.585,299.796
1.500,8.000,0.010,15.000,nan,3.531,11.908,1.756,0.000,0.000,0.000,3.252,2.231,1.458,3.373,70.621,-477.864,-46.783,294.058,37.388,1159.796,-9453.437,-86.477,243.127,-1537.632,899.991,-7323.714,-21.405,9.798,-138.585,276.350
1.500,8.000,0.010,16.000,nan,3.278,15.487,1.867,0.000,0.000,0.000,2.986,2.305,1.295,4.725,70.035,-469.574,-46.783,294.058,36.956,1159.892,-9454.783,-92.566,243.127,-1537.632,899.991,-7323.714,-3.240,9.798,-138.585,254.383
1.500,8.000,0.010,17.000,nan,3.040,18.845,1.982,0.000,0.000,0.000,2.735,2.386,1.146,6.199,69.462,-461.470,-46.783,294.058,36.282,1158.630,-9436.946,-98.382,243.127,-1537.632,899.991,-7323.714,11.401,9.798,-138.585,237.688
1.500,8.000,0.010,18.000,nan,2.818,21.991,2.101,0.000,0.000,0.000,2.498,2.473,1.010,7.805,68.919,-453.806,-46.783,294.058,35.968,1156.134,-9401.637,-103.900,243.127,-1537.632,899.991,-7323.714,20.841,9.798,-138.585,224.680
1.500,8.000,0.010,19.000,nan,2.611,24.916,2.224,0.000,0.000,0.000,2.276,2.565,0.887,9.543,68.342,-445.644,-46.783,294.058,35.759,1152.372,-9348.427,-109.057,243.127,-1537.632,899.991,-7323.714,27.606,9.798,-138.585,217.044
1.500,8.000,0.010,20.000,nan,2.422,27.595,2.348,0.000,0.000,0.000,2.071,2.662,0.778,11.396,67.693,-436.473,-46.783,294.058,35.666,1147.252,-9276.009,-113.768,243.127,-1537.632,899.991,-7323.714,31.041,9.798,-138.585,213.402
1.500,8.000,0.510,-20.000,nan,12.746,-116.521,2.190,0.000,0.000,0.000,12.317,3.943,3.124,-9.142,63.938,-368.155,-48.221,300.003,18.794,819.773,-4457.183,9.863,246.470,-1551.148,929.281,-7607.629,0.100,10.704,-151.574,41.111
1.500,8.000,0.510,-19.000,nan,12.714,-116.067,2.093,0.000,0.000,0.000,12.299,3.842,3.201,-9.129,64.074,-370.081,-48.221,300.003,18.809,819.246,-4449.729,9.184,246.470,-1551.148,929.281,-7607.629,3.824,10.704,-151.574,37.326
1.500,8.000,0.510,-18.000,nan,12.678,-115.561,1.998,0.000,0.000,0.000,12.277,3.743,3.280,-9.115,64.178,-371.553,-48.221,300.003,18.770,818.976,-4445.909,8.595,246.470,-1551.148,929.281,-7607.629,6.601,10.704,-151.574,34.569
1.500,8.000,0.510,-17.000,nan,12.625,-114.805,1.900,0.000,0.000,0.000,12.237,3.638,3.363,-9.094,64.909,-381.904,-48.221,300.003,18.630,819.571,-4454.322,8.235,246.470,-1551.148,929.281,-7607.629,8.616,10.704,-151.574,32.808
1.500,8.000,0.510,-16.000,nan,12.541,-113.621,1.797,0.000,0.000,0.000,12.169,3.525,3.452,-9.060,66.117,-399.013,-48.221,300.003,18.476,821.580,-4482.784,8.191,246.470,-1551.148,929.281,-7607.628,10.096,10.704,-151.574,31.891
1.500,8.000,0.510,-15.000,nan,12.428,-112.027,1.692,0.000,0.000,0.000,12.072,3.405,3.545,-9.014,67.184,-414.130,-48.221,300.003,18.389,824.847,-4529.040,8.363,246.470,-1551.148,929.281,-7607.628,11.231,10.704,-151.574,31.661
1.500,8.000,0.510,-14.000,nan,12.292,-110.098,1.586,0.000,0.000,0.000,11.952,3.281,3.642,-8.957,68.040,-426.242,-48.221,300.003,18.358,829.081,-4588.998,8.637,246.470,-1551.148,929.281,-7607.628,12.034,10.704,-151.574,31.985
1.500,8.000,0.510,-13.000,nan,12.134,-107.856,1.481,0.000,0.000,0.000,11.810,3.155,3.743,-8.889,68.848,-437.692,-48.221,300.003,18.358,834.234,-4661.967,8.961,246.470,-1551.148,929.281,-7607.628,12.086,10.704,-151.574,33.322
