XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
1.500,16.000,0.010,-20.000,nan,20.579,-154.919,2.499,0.000,0.000,0.000,19.093,8.074,2.365,-7.528,48.891,-162.722,-34.072,170.174,252.650,791.906,-4079.394,11.645,269.468,-1532.272,897.198,-7283.148,-124.869,31.606,-446.935,1168.592
1.500,16.000,0.010,-19.000,nan,20.827,-158.426,2.486,0.000,0.000,0.000,19.335,8.130,2.378,-7.607,47.331,-140.664,-34.072,170.174,254.709,777.799,-3879.914,7.124,269.468,-1532.272,897.198,-7283.148,-112.680,31.606,-446.935,1165.158
1.500,16.000,0.010,-18.000,nan,21.067,-161.818,2.464,0.000,0.000,0.000,19.571,8.175,2.394,-7.681,47.764,-146.790,-34.072,170.174,253.618,764.024,-3685.118,3.136,269.468,-1532.272,897.198,-7283.148,-99.286,31.606,-446.935,1151.886
1.500,16.000,0.010,-17.000,nan,21.265,-164.621,2.425,0.000,0.000,0.000,19.772,8.193,2.413,-7.742,50.223,-181.558,-34.072,170.174,248.656,752.179,-3517.616,0.049,269.468,-1532.272,897.198,-7283.148,-84.948,31.606,-446.935,1129.912
1.500,16.000,0.010,-16.000,nan,21.388,-166.364,2.365,0.000,0.000,0.000,19.908,8.168,2.437,-7.778,54.685,-244.653,-34.072,170.174,240.198,743.841,-3399.716,-1.870,269.468,-1532.272,897.198,-7283.148,-69.887,31.606,-446.935,1101.271
1.500,16.000,0.010,-15.000,nan,21.427,-166.921,2.283,0.000,0.000,0.000,19.968,8.101,2.465,-7.790,59.728,-315.959,-34.072,170.174,232.492,739.369,-3336.465,-2.708,269.468,-1532.272,897.198,-7283.148,-54.409,31.606,-446.935,1069.797
1.500,16.000,0.010,-14.000,nan,21.402,-166.560,2.188,0.000,0.000,0.000,19.970,8.002,2.496,-7.783,63.609,-370.835,-34.072,170.174,227.070,737.728,-3313.262,-2.848,269.468,-1532.272,897.198,-7283.148,-38.677,31.606,-446.935,1038.034
1.500,16.000,0.010,-13.000,nan,21.332,-165.578,2.086,0.000,0.000,0.000,19.931,7.885,2.528,-7.762,66.193,-407.376,-34.072,170.174,224.088,737.933,-3316.164,-2.599,269.468,-1532.272,897.198,-7283.148,-22.718,31.606,-446.935,1008.874
1.500,16.000,0.010,-12.000,nan,21.240,-164.278,1.984,0.000,0.000,0.000,19.871,7.761,2.560,-7.734,67.463,-425.333,-34.072,170.174,223.437,739.110,-3332.810,-2.192,269.468,-1532.272,897.198,-7283.148,-5.938,31.606,-446.935,986.426
1.500,16.000,0.010,-11.000,nan,21.144,-162.907,1.883,0.000,0.000,0.000,19.805,7.638,2.593,-7.705,67.651,-428.003,-34.072,170.174,223.567,740.590,-3353.742,-1.774,269.468,-1532.272,897.198,-7283.148,12.409,31.606,-446.935,971.711
1.500,16.000,0.010,-10.000,nan,21.036,-161.387,1.785,0.000,0.000,0.000,19.729,7.514,2.626,-7.672,68.130,-434.775,-34.072,170.174,222.614,742.858,-3385.813,-1.289,269.468,-1532.272,897.198,-7283.148,33.635,31.606,-446.935,962.990
1.500,16.000,0.010,-9.000,nan,20.905,-159.538,1.687,0.000,0.000,0.000,19.630,7.384,2.658,-7.631,69.382,-452.476,-34.072,170.174,221.004,746.700,-3440.140,-0.670,269.468,-1532.272,897.198,-7283.148,54.391,31.606,-446.936,958.023
1.500,16.000,0.010,-8.000,nan,20.749,-157.325,1.591,0.000,0.000,0.000,19.507,7.248,2.691,-7.582,70.816,-472.761,-34.072,170.174,219.941,752.160,-3517.347,0.020,269.468,-1532.272,897.198,-7283.148,73.461,31.606,-446.936,954.654
1.500,16.000,0.010,-7.000,nan,20.571,-154.815,1.497,0.000,0.000,0.000,19.362,7.109,2.723,-7.526,71.964,-488.996,-34.072,170.174,219.524,758.849,-3611.933,0.676,269.468,-1532.272,897.198,-7283.148,87.596,31.606,-446.935,951.897
1.500,16.000,0.010,-6.000,nan,20.376,-152.051,1.407,0.000,0.000,0.000,19.199,6.969,2.755,-7.462,72.922,-502.546,-34.072,170.174,219.448,766.462,-3719.593,1.220,269.468,-1532.272,897.198,-7283.148,93.847,31.606,-446.935,951.016
