XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
1.500,6.000,0.010,-20.000,nan,10.535,-104.696,2.655,0.000,0.000,0.000,10.200,3.741,2.726,-9.938,58.188,-328.350,-49.330,330.199,15.783,723.861,-3491.651,-6.523,235.519,-1539.907,906.222,-7378.359,-5.984,6.899,-97.578,79.043
1.500,6.000,0.010,-19.000,nan,10.458,-103.599,2.545,0.000,0.000,0.000,10.134,3.624,2.796,-9.907,58.204,-328.574,-49.330,330.199,15.811,726.283,-3525.908,-5.493,235.519,-1539.907,906.222,-7378.359,2.044,6.899,-97.578,58.389
1.500,6.000,0.010,-18.000,nan,10.369,-102.350,2.436,0.000,0.000,0.000,10.058,3.506,2.869,-9.871,58.422,-331.663,-49.330,330.199,15.614,729.450,-3570.696,-4.348,235.519,-1539.907,906.222,-7378.359,7.236,6.899,-97.578,45.404
1.500,6.000,0.010,-17.000,nan,10.258,-100.777,2.324,0.000,0.000,0.000,9.959,3.384,2.943,-9.824,58.828,-337.402,-49.330,330.199,15.288,733.826,-3632.599,-3.004,235.519,-1539.907,906.222,-7378.359,11.463,6.899,-97.578,38.156
1.500,6.000,0.010,-16.000,nan,10.121,-98.846,2.212,0.000,0.000,0.000,9.835,3.257,3.019,-9.766,59.194,-342.583,-49.330,330.199,15.079,739.393,-3711.335,-1.521,235.519,-1539.907,906.222,-7378.359,15.894,6.899,-97.578,34.614
1.500,6.000,0.010,-15.000,nan,9.964,-96.618,2.099,0.000,0.000,0.000,9.690,3.129,3.097,-9.697,59.480,-346.622,-49.330,330.199,14.996,745.830,-3802.382,-0.021,235.519,-1539.907,906.222,-7378.359,19.387,6.899,-97.578,32.834
1.500,6.000,0.010,-14.000,nan,9.788,-94.133,1.989,0.000,0.000,0.000,9.527,3.001,3.175,-9.617,59.740,-350.313,-49.330,330.199,14.975,753.081,-3904.948,1.449,235.519,-1539.907,906.222,-7378.359,20.629,6.899,-97.578,33.091
1.500,6.000,0.010,-13.000,nan,9.594,-91.391,1.880,0.000,0.000,0.000,9.345,2.873,3.253,-9.525,60.004,-354.044,-49.330,330.199,15.004,761.272,-4020.800,2.878,235.519,-1539.907,906.222,-7378.359,19.527,6.899,-97.578,36.094
1.500,6.000,0.010,-12.000,nan,9.383,-88.396,1.776,0.000,0.000,0.000,9.146,2.747,3.330,-9.421,60.255,-357.594,-49.330,330.199,15.100,770.517,-4151.565,4.245,235.519,-1539.907,906.222,-7378.359,15.863,6.899,-97.578,43.485
1.500,6.000,0.010,-11.000,nan,9.155,-85.171,1.675,0.000,0.000,0.000,8.929,2.623,3.405,-9.304,60.472,-360.677,-49.330,330.199,15.273,780.863,-4297.901,5.516,235.519,-1539.907,906.222,-7378.359,10.146,6.899,-97.578,55.114
1.500,6.000,0.010,-10.000,nan,8.912,-81.741,1.579,0.000,0.000,0.000,8.698,2.502,3.477,-9.172,60.666,-363.425,-49.330,330.199,15.507,792.314,-4459.863,6.643,235.519,-1539.907,906.222,-7378.359,1.918,6.899,-97.578,71.132
1.500,6.000,0.010,-9.000,nan,8.655,-78.107,1.489,0.000,0.000,0.000,8.452,2.386,3.543,-9.024,60.870,-366.309,-49.330,330.199,15.971,804.914,-4638.073,7.588,235.519,-1539.907,906.222,-7378.359,-8.696,6.899,-97.578,92.399
1.500,6.000,0.010,-8.000,nan,8.383,-74.261,1.405,0.000,0.000,0.000,8.191,2.273,3.603,-8.858,61.082,-369.311,-49.330,330.199,16.421,818.736,-4833.581,8.311,235.519,-1539.907,906.222,-7378.359,-22.991,6.899,-97.578,115.585
1.500,6.000,0.010,-7.000,nan,8.097,-70.217,1.327,0.000,0.000,0.000,7.914,2.167,3.653,-8.672,61.261,-371.847,-49.330,330.199,16.824,833.775,-5046.283,8.761,235.519,-1539.907,906.222,-7378.359,-40.688,6.899,-97.578,139.928
1.500,6.000,0.010,-6.000,nan,7.800,-66.012,1.257,0.000,0.000,0.000,7.626,2.066,3.691,-8.463,61.395,-373.753,-49.330,330.199,17.835,850.003,-5275.822,8.885,235.519,-1539.907,906.222,-7378.359,-58.537,6.899,-97.578,162.668
1.500,6.000,0.010,-5.000,nan,7.494,-61.686,1.195,0.000,0.000,0.000,7.328,1.972,3.716,-8.231,61.483,-374.993,-49.330,330.199,18.137,867.697,-5526.083,8.653,235.519,-1539.907,906.222,-7378.359,-76.666,6.899,-97.578,183.472
1.500,6.000,0.010,-4.000,nan,7.183,-57.279,1.142,0.000,0.000,0.000,7.024,1.887,3.723,-7.975,61.521,-375.541,-49.330,330.199,19.224,887.222,-5802.257,8.025,235.519,-1539.907,906.222,-7378.359,-91.598,6.899,-97.578,201.651
1.500,6.000,0.010,-3.000,nan,6.868,-52.828,1.097,0.000,0.000,0.000,6.716,1.809,3.712,-7.692,61.528,-375.650,-49.330,330.199,19.688,908.969,-6109.839,6.940,235.519,-1539.907,906.222,-7378.359,-102.126,6.899,-97.578,217.793
1.500,6.000,0.010,-2.000,nan,6.551,-48.339,1.062,0.000,0.000,0.000,6.404,1.740,3.679,-7.379,61.538,-375.801,-49.330,330.199,19.621,933.406,-6455.481,5.317,235.519,-1539.907,906.222,-7378.359,-108.986,6.899,-97.578,232.226
1.500,6.000,0.010,-1.000,nan,6.231,-43.812,1.035,0.000,0.000,0.000,6.088,1.680,3.623,-7.032,61.551,-375.979,-49.330,330.199,19.470,960.168,-6834.009,3.037,235.519,-1539.907,906.222,-7378.359,-109.955,6.899,-97.578,241.577
1.500,6.000,0.010,0.000,nan,5.908,-39.253,1.017,0.000,0.000,0.000,5.770,1.629,3.542,-6.644,61.555,-376.046,-49.330,330.198,19.333,987.614,-7222.212,0.000,235.519,-1539.907,906.222,-7378.359,-110.197,6.899,-97.578,246.868
