XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
2.200,-8.000,0.010,-25.000,nan,-1.767,-40.907,2.969,0.000,0.000,0.000,-1.337,3.186,-0.420,23.147,61.176,-214.837,-49.835,197.990,-36.780,379.306,-1003.908,-3.618,239.368,-1115.321,723.510,-4602.714,-6.275,-9.799,116.083,236.898
2.200,-8.000,0.010,-24.000,nan,-1.853,-39.892,2.850,0.000,0.000,0.000,-1.438,3.080,-0.467,21.528,61.826,-222.541,-49.835,197.990,-36.312,382.279,-1039.127,-2.382,239.368,-1115.321,723.510,-4602.714,-10.133,-9.799,116.083,224.340
2.200,-8.000,0.010,-23.000,nan,-1.964,-38.573,2.726,0.000,0.000,0.000,-1.566,2.973,-0.527,19.637,62.634,-232.113,-49.835,197.990,-35.921,386.834,-1093.089,-0.705,239.368,-1115.321,723.510,-4602.714,-14.410,-9.799,116.083,217.364
2.200,-8.000,0.010,-22.000,nan,-2.098,-36.988,2.600,0.000,0.000,0.000,-1.716,2.867,-0.598,17.630,63.299,-239.987,-49.835,197.990,-35.727,392.680,-1162.354,1.243,239.368,-1115.321,723.510,-4602.714,-17.802,-9.799,116.083,214.053
2.200,-8.000,0.010,-21.000,nan,-2.251,-35.181,2.474,0.000,0.000,0.000,-1.884,2.763,-0.682,15.632,63.853,-246.553,-49.835,197.990,-35.661,399.502,-1243.171,3.302,239.368,-1115.321,723.510,-4602.714,-19.372,-9.799,116.083,212.659
2.200,-8.000,0.010,-20.000,nan,-2.422,-33.156,2.348,0.000,0.000,0.000,-2.071,2.662,-0.778,13.692,64.409,-253.134,-49.835,197.990,-35.666,407.133,-1333.573,5.381,239.368,-1115.321,723.510,-4602.714,-19.239,-9.799,116.083,213.403
2.200,-8.000,0.010,-19.000,nan,-2.611,-30.912,2.224,0.000,0.000,0.000,-2.276,2.565,-0.887,11.840,64.969,-259.764,-49.835,197.990,-35.759,415.510,-1432.815,7.428,239.368,-1115.321,723.510,-4602.715,-17.656,-9.799,116.083,217.044
2.200,-8.000,0.010,-18.000,nan,-2.818,-28.462,2.101,0.000,0.000,0.000,-2.498,2.473,-1.010,10.101,65.484,-265.855,-49.835,197.990,-35.968,424.678,-1541.429,9.422,239.368,-1115.321,723.510,-4602.715,-14.091,-9.799,116.082,224.680
2.200,-8.000,0.010,-17.000,nan,-3.040,-25.827,1.982,0.000,0.000,0.000,-2.735,2.386,-1.146,8.495,65.941,-271.265,-49.835,197.990,-36.282,434.674,-1659.850,11.342,239.368,-1115.321,723.510,-4602.715,-8.818,-9.799,116.082,237.688
2.200,-8.000,0.010,-16.000,nan,-3.278,-23.014,1.867,0.000,0.000,0.000,-2.986,2.305,-1.295,7.022,66.392,-276.615,-49.835,197.990,-36.956,445.591,-1789.189,13.174,239.368,-1115.321,723.510,-4602.715,-1.514,-9.799,116.082,254.383
2.200,-8.000,0.010,-15.000,nan,-3.531,-20.016,1.756,0.000,0.000,0.000,-3.252,2.231,-1.458,5.669,66.873,-282.306,-49.835,197.990,-37.388,457.588,-1931.312,14.914,239.368,-1115.321,723.510,-4602.715,7.611,-9.799,116.082,276.350
2.200,-8.000,0.010,-14.000,nan,-3.799,-16.834,1.651,0.000,0.000,0.000,-3.532,2.164,-1.633,4.431,67.341,-287.837,-49.835,197.990,-38.183,470.738,-2087.096,16.534,239.368,-1115.321,723.510,-4602.714,19.781,-9.799,116.083,299.796
2.200,-8.000,0.010,-13.000,nan,-4.081,-13.495,1.551,0.000,0.000,0.000,-3.825,2.104,-1.818,3.307,67.728,-292.424,-49.835,197.990,-39.343,484.978,-2255.805,17.973,239.368,-1115.321,723.510,-4602.714,34.241,-9.799,116.083,323.457
2.200,-8.000,0.010,-12.000,nan,-4.374,-10.029,1.458,0.000,0.000,0.000,-4.128,2.053,-2.011,2.293,68.030,-296.000,-49.835,197.990,-40.197,500.228,-2436.460,19.174,239.368,-1115.321,723.510,-4602.714,49.253,-9.799,116.083,345.529
2.200,-8.000,0.010,-11.000,nan,-4.674,-6.470,1.373,0.000,0.000,0.000,-4.438,2.010,-2.207,1.384,68.240,-298.484,-49.835,197.990,-41.981,516.392,-2627.960,20.080,239.368,-1115.321,723.510,-4602.714,64.110,-9.799,116.082,365.775
2.200,-8.000,0.010,-10.000,nan,-4.980,-2.849,1.296,0.000,0.000,0.000,-4.751,1.977,-2.403,0.572,68.362,-299.925,-49.835,197.990,-42.125,533.477,-2830.359,20.655,239.368,-1115.321,723.510,-4602.714,73.676,-9.799,116.082,383.875
2.200,-8.000,0.010,-9.000,nan,-5.289,0.818,1.228,0.000,0.000,0.000,-5.067,1.952,-2.595,-0.155,68.467,-301.156,-49.835,197.990,-42.669,551.874,-3048.309,20.914,239.368,-1115.321,723.510,-4602.714,79.452,-9.799,116.082,400.022
2.200,-8.000,0.010,-8.000,nan,-5.603,4.531,1.169,0.000,0.000,0.000,-5.386,1.937,-2.780,-0.809,68.580,-302.487,-49.835,197.990,-42.416,572.100,-3287.935,20.861,239.368,-1115.321,723.510,-4602.714,80.224,-9.799,116.083,414.559
2.200,-8.000,0.010,-7.000,nan,-5.920,8.289,1.118,0.000,0.000,0.000,-5.707,1.931,-2.956,-1.400,68.687,-303.758,-49.835,197.990,-42.391,594.664,-3555.242,20.470,239.368,-1115.321,723.510,-4602.714,79.389,-9.799,116.083,423.582
2.200,-8.000,0.010,-6.000,nan,-6.240,12.083,1.076,0.000,0.000,0.000,-6.030,1.934,-3.118,-1.936,68.778,-304.820,-49.835,197.990,-42.266,619.996,-3855.352,19.679,239.368,-1115.321,723.510,-4602.714,78.882,-9.799,116.083,428.927
2.200,-8.000,0.010,-5.000,nan,-6.563,15.905,1.043,0.000,0.000,0.000,-6.354,1.946,-3.265,-2.424,68.850,-305.668,-49.835,197.990,-42.283,647.429,-4180.346,18.325,239.368,-1115.321,723.510,-4602.714,79.191,-9.799,116.082,429.958
2.200,-8.000,0.010,-4.000,nan,-6.887,19.747,1.019,0.000,0.000,0.000,-6.678,1.967,-3.395,-2.867,68.904,-306.306,-49.835,197.990,-42.555,675.256,-4510.013,16.223,239.368,-1115.321,723.510,-4602.714,79.273,-9.799,116.082,429.565
2.200,-8.000,0.010,-3.000,nan,-7.212,23.598,1.004,0.000,0.000,0.000,-7.002,1.998,-3.505,-3.272,68.940,-306.730,-49.835,197.990,-42.410,701.721,-4823.544,13.283,239.368,-1115.321,723.510,-4602.714,79.181,-9.799,116.082,429.745
2.200,-8.000,0.010,-2.000,nan,-7.537,27.453,0.998,0.000,0.000,0.000,-7.325,2.038,-3.595,-3.642,68.958,-306.940,-49.835,197.990,-42.320,725.061,-5100.055,9.511,239.368,-1115.321,723.510,-4602.714,79.263,-9.799,116.083,430.134
