XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
2.400,6.000,0.010,-25.000,nan,10.485,-73.030,3.095,0.000,0.000,0.000,10.104,4.174,2.421,-6.965,53.871,-108.225,-49.330,184.540,20.570,367.182,-770.762,-4.315,235.519,-995.476,575.848,-4077.892,-53.705,6.899,-77.207,224.473
2.400,6.000,0.010,-24.000,nan,10.615,-74.486,3.048,0.000,0.000,0.000,10.239,4.141,2.472,-7.017,55.250,-123.656,-49.330,184.540,18.932,358.635,-675.110,-7.211,235.519,-995.476,575.848,-4077.892,-36.102,6.899,-77.207,200.968
2.400,6.000,0.010,-23.000,nan,10.667,-75.066,2.972,0.000,0.000,0.000,10.298,4.070,2.530,-7.037,56.506,-137.705,-49.330,184.540,17.478,353.853,-621.598,-8.523,235.519,-995.476,575.848,-4077.892,-18.690,6.899,-77.207,172.523
2.400,6.000,0.010,-22.000,nan,10.658,-74.964,2.875,0.000,0.000,0.000,10.299,3.973,2.592,-7.034,57.419,-147.921,-49.330,184.540,16.456,352.160,-602.653,-8.668,235.519,-995.476,575.848,-4077.892,-6.101,6.899,-77.207,140.390
2.400,6.000,0.010,-21.000,nan,10.607,-74.397,2.766,0.000,0.000,0.000,10.260,3.860,2.658,-7.014,57.982,-154.221,-49.330,184.540,15.896,352.786,-609.651,-8.041,235.519,-995.476,575.848,-4077.892,0.893,6.899,-77.207,107.706
2.400,6.000,0.010,-20.000,nan,10.535,-73.588,2.655,0.000,0.000,0.000,10.200,3.741,2.726,-6.985,58.188,-156.534,-49.330,184.540,15.783,354.853,-632.792,-7.013,235.519,-995.476,575.848,-4077.892,3.137,6.899,-77.207,79.043
2.400,6.000,0.010,-19.000,nan,10.458,-72.721,2.545,0.000,0.000,0.000,10.134,3.624,2.796,-6.954,58.204,-156.712,-49.330,184.540,15.811,357.453,-661.882,-5.907,235.519,-995.476,575.848,-4077.892,3.852,6.899,-77.207,58.389
2.400,6.000,0.010,-18.000,nan,10.369,-71.732,2.436,0.000,0.000,0.000,10.058,3.506,2.869,-6.918,58.422,-159.157,-49.330,184.540,15.614,360.721,-698.457,-4.712,235.519,-995.476,575.848,-4077.892,6.047,6.899,-77.207,45.404
2.400,6.000,0.010,-17.000,nan,10.258,-70.488,2.324,0.000,0.000,0.000,9.959,3.384,2.943,-6.871,58.828,-163.697,-49.330,184.540,15.288,365.122,-747.709,-3.341,235.519,-995.476,575.848,-4077.892,9.333,6.899,-77.207,38.156
2.400,6.000,0.010,-16.000,nan,10.121,-68.959,2.212,0.000,0.000,0.000,9.835,3.257,3.019,-6.813,59.194,-167.797,-49.330,184.540,15.079,370.642,-809.489,-1.848,235.519,-995.476,575.848,-4077.892,11.908,6.899,-77.207,34.614
