XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
0.500,-2.000,0.010,-20.000,nan,3.532,-74.651,2.497,0.000,0.000,0.000,3.617,2.372,1.525,-21.136,48.439,-458.072,-52.688,549.002,1.158,1012.200,-8633.268,1.441,215.088,-2166.925,1332.297,-13784.730,-3.284,-1.801,31.390,-189.890
0.500,-2.000,0.010,-19.000,nan,3.384,-72.077,2.376,0.000,0.000,0.000,3.465,2.257,1.536,-21.298,49.005,-467.928,-52.688,549.002,1.178,1018.137,-8736.729,3.030,215.088,-2166.925,1332.297,-13784.730,-4.828,-1.801,31.390,-193.154
0.500,-2.000,0.010,-18.000,nan,3.218,-69.185,2.256,0.000,0.000,0.000,3.295,2.142,1.538,-21.498,49.518,-476.873,-52.688,549.002,1.184,1025.189,-8859.614,4.728,215.088,-2166.925,1332.297,-13784.730,-5.219,-1.801,31.390,-195.002
0.500,-2.000,0.010,-17.000,nan,3.034,-65.975,2.137,0.000,0.000,0.000,3.107,2.030,1.531,-21.745,50.041,-485.977,-52.688,549.002,1.177,1033.219,-8999.557,6.451,215.088,-2166.925,1332.297,-13784.730,-4.717,-1.801,31.390,-193.600
0.500,-2.000,0.010,-16.000,nan,2.832,-62.452,2.020,0.000,0.000,0.000,2.901,1.920,1.510,-22.053,50.548,-494.815,-52.688,549.002,1.153,1042.073,-9153.833,8.120,215.088,-2166.925,1332.297,-13784.730,-3.240,-1.801,31.390,-188.890
0.500,-2.000,0.010,-15.000,nan,2.613,-58.642,1.907,0.000,0.000,0.000,2.678,1.815,1.476,-22.440,51.000,-502.685,-52.688,549.002,1.111,1051.570,-9319.332,9.663,215.088,-2166.925,1332.297,-13784.730,-0.436,-1.801,31.390,-180.993
0.500,-2.000,0.010,-14.000,nan,2.380,-54.575,1.798,0.000,0.000,0.000,2.441,1.714,1.424,-22.932,51.408,-509.800,-52.688,549.002,1.054,1061.713,-9496.082,11.054,215.088,-2166.925,1332.297,-13784.730,3.936,-1.801,31.390,-170.300
0.500,-2.000,0.010,-13.000,nan,2.132,-50.249,1.694,0.000,0.000,0.000,2.189,1.618,1.353,-23.574,51.834,-517.220,-52.688,549.002,0.940,1072.630,-9686.321,12.291,215.088,-2166.925,1332.297,-13784.730,9.526,-1.801,31.390,-154.910
0.500,-2.000,0.010,-12.000,nan,1.868,-45.653,1.595,0.000,0.000,0.000,1.922,1.529,1.258,-24.442,52.281,-524.998,-52.688,549.002,0.816,1084.478,-9892.782,13.370,215.088,-2166.925,1332.297,-13784.730,15.774,-1.801,31.390,-135.665
0.500,-2.000,0.010,-11.000,nan,1.590,-40.808,1.502,0.000,0.000,0.000,1.641,1.445,1.136,-25.669,52.676,-531.888,-52.688,549.002,0.729,1097.328,-10116.720,14.263,215.088,-2166.925,1332.297,-13784.730,24.867,-1.801,31.390,-114.293
