XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
0.500,0.000,0.010,-20.000,nan,5.181,-90.290,2.553,0.000,0.000,0.000,5.181,2.553,2.029,-17.426,45.785,-433.081,-52.198,544.850,-0.000,1031.317,-8792.171,-1.232,210.799,-2173.852,1320.626,-13833.710,0.001,0.000,0.000,-196.031
0.500,0.000,0.010,-19.000,nan,5.056,-88.101,2.435,0.000,0.000,0.000,5.056,2.435,2.076,-17.426,46.580,-446.932,-52.198,544.850,0.000,1036.099,-8875.508,0.179,210.799,-2173.852,1320.626,-13833.710,0.001,0.000,0.000,-199.831
0.500,0.000,0.010,-18.000,nan,4.909,-85.538,2.317,0.000,0.000,0.000,4.909,2.317,2.119,-17.426,47.216,-458.010,-52.198,544.850,0.000,1042.177,-8981.418,1.781,210.799,-2173.852,1320.626,-13833.710,0.001,0.000,0.000,-203.268
0.500,0.000,0.010,-17.000,nan,4.743,-82.656,2.199,0.000,0.000,0.000,4.743,2.199,2.157,-17.426,47.763,-467.535,-52.198,544.850,0.000,1049.255,-9104.764,3.442,210.799,-2173.852,1320.626,-13833.710,0.001,0.000,0.000,-205.108
0.500,0.000,0.010,-16.000,nan,4.560,-79.457,2.083,0.000,0.000,0.000,4.560,2.083,2.189,-17.426,48.315,-477.163,-52.198,544.850,0.000,1057.184,-9242.924,5.084,210.799,-2173.852,1320.626,-13833.710,0.001,0.000,0.000,-203.868
0.500,0.000,0.010,-15.000,nan,4.358,-75.944,1.969,0.000,0.000,0.000,4.358,1.969,2.213,-17.426,48.860,-486.668,-52.198,544.850,0.000,1065.844,-9393.839,6.645,210.799,-2173.852,1320.626,-13833.710,0.001,0.000,0.000,-199.253
0.500,0.000,0.010,-14.000,nan,4.140,-72.140,1.859,0.000,0.000,0.000,4.140,1.859,2.227,-17.426,49.348,-495.171,-52.198,544.850,0.000,1075.226,-9557.326,8.093,210.799,-2173.852,1320.626,-13833.710,0.001,0.000,0.000,-191.884
0.500,0.000,0.010,-13.000,nan,3.907,-68.077,1.753,0.000,0.000,0.000,3.907,1.753,2.229,-17.426,49.779,-502.682,-52.198,544.850,0.000,1085.366,-9734.040,9.405,210.799,-2173.852,1320.626,-13833.710,0.001,0.000,0.000,-182.023
0.500,0.000,0.010,-12.000,nan,3.659,-63.759,1.652,0.000,0.000,0.000,3.659,1.652,2.215,-17.426,50.217,-510.315,-52.198,544.850,0.000,1096.379,-9925.949,10.569,210.799,-2173.852,1320.626,-13833.710,0.001,0.000,0.000,-167.380
0.500,0.000,0.010,-11.000,nan,3.396,-59.175,1.556,0.000,0.000,0.000,3.396,1.556,2.182,-17.426,50.681,-518.396,-52.198,544.850,0.000,1108.423,-10135.840,11.577,210.799,-2173.852,1320.626,-13833.710,0.001,0.000,0.000,-149.677
0.500,0.000,0.010,-10.000,nan,3.118,-54.338,1.466,0.000,0.000,0.000,3.118,1.466,2.127,-17.426,51.107,-525.829,-52.198,544.850,0.000,1121.565,-10364.840,12.393,210.799,-2173.852,1320.626,-13833.710,0.001,0.000,0.000,-128.540
0.500,0.000,0.010,-9.000,nan,2.829,-49.290,1.383,0.000,0.000,0.000,2.829,1.383,2.045,-17.426,51.447,-531.751,-52.198,544.850,0.000,1135.730,-10611.680,12.963,210.799,-2173.852,1320.626,-13833.710,0.001,0.000,0.000,-106.713
