XCG,ALPHA,MACH,DELTA,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
3.000,6.000,0.010,-20.000,nan,10.535,-52.850,2.655,0.000,0.000,0.000,10.200,3.741,2.726,-5.017,58.188,-41.990,-49.330,87.434,15.783,114.181,109.574,-7.591,235.519,-635.942,397.419,-2964.870,6.158,6.899,-63.627,79.043
3.000,6.000,0.010,-19.000,nan,10.458,-52.135,2.545,0.000,0.000,0.000,10.134,3.624,2.796,-4.985,58.204,-42.137,-49.330,87.434,15.811,116.947,84.064,-6.408,235.519,-635.942,397.419,-2964.870,6.092,6.899,-63.627,58.389
3.000,6.000,0.010,-18.000,nan,10.369,-51.320,2.436,0.000,0.000,0.000,10.058,3.506,2.869,-4.949,58.422,-44.152,-49.330,87.434,15.614,120.284,53.282,-5.166,235.519,-635.942,397.419,-2964.870,6.692,6.899,-63.627,45.404
3.000,6.000,0.010,-17.000,nan,10.258,-50.295,2.324,0.000,0.000,0.000,9.959,3.384,2.943,-4.903,58.828,-47.895,-49.330,87.434,15.288,124.656,12.960,-3.776,235.519,-635.942,397.419,-2964.870,7.677,6.899,-63.627,38.156
3.000,6.000,0.010,-16.000,nan,10.121,-49.035,2.212,0.000,0.000,0.000,9.835,3.257,3.019,-4.845,59.194,-51.274,-49.330,87.434,15.079,130.123,-37.463,-2.268,235.519,-635.942,397.419,-2964.870,8.317,6.899,-63.627,34.614
3.000,6.000,0.010,-15.000,nan,9.964,-47.582,2.099,0.000,0.000,0.000,9.690,3.129,3.097,-4.775,59.480,-53.908,-49.330,87.434,14.996,136.568,-96.903,-0.717,235.519,-635.942,397.419,-2964.870,8.575,6.899,-63.627,32.834
3.000,6.000,0.010,-14.000,nan,9.788,-45.962,1.989,0.000,0.000,0.000,9.527,3.001,3.175,-4.696,59.740,-56.316,-49.330,87.434,14.975,143.978,-165.246,0.834,235.519,-635.942,397.419,-2964.870,8.640,6.899,-63.627,33.091
3.000,6.000,0.010,-13.000,nan,9.594,-44.174,1.880,0.000,0.000,0.000,9.345,2.873,3.253,-4.604,60.004,-58.750,-49.330,87.434,15.004,152.481,-243.663,2.366,235.519,-635.942,397.419,-2964.870,8.552,6.899,-63.627,36.094
3.000,6.000,0.010,-12.000,nan,9.383,-42.221,1.776,0.000,0.000,0.000,9.146,2.747,3.330,-4.500,60.255,-61.066,-49.330,87.434,15.100,162.188,-333.187,3.854,235.519,-635.942,397.419,-2964.870,8.256,6.899,-63.627,43.485
3.000,6.000,0.010,-11.000,nan,9.155,-40.119,1.675,0.000,0.000,0.000,8.929,2.623,3.405,-4.382,60.472,-63.078,-49.330,87.434,15.273,173.094,-433.776,5.247,235.519,-635.942,397.419,-2964.870,7.728,6.899,-63.627,55.114
