t,alpha,Q,rho,h,V,MACH,mass,Iyy,xcg,CMA,CNA,CMD,CND,CMQ
1,0.452517069945294,126283.144123639,1.07017828241468,1385.34071106008,485.802364429936,1.45043763327101,1072.1,1175.9,2.1511,-269.242614791225,55.9191536721795,223.635589571171,-18.2314938323054,-6574.38534653498
1.99999999999989,0.58538261048098,114849.119446851,1.03122941671921,1757.85448915639,471.955646255595,1.41524937086478,1072.1,1175.9,2.1511,-275.279195890721,56.9547151928053,238.001387006417,-19.4052075274135,-6777.91686768358
2.99999999999978,0.736891131766182,104515.704222855,0.994737492243766,2116.72006154284,458.40730512658,1.38045262919309,1072.1,1175.9,2.1511,-281.050928081192,58.00416028806,252.224761895972,-20.567164454424,-6977.19293200532
3.99999999999967,1.04287679267278,95182.8322356011,0.960674600277196,2460.95773787743,445.149772095861,1.34602709778017,1072.1,1175.9,2.1511,-286.224882253,59.2329936556043,266.374050750757,-21.7220530111993,-7172.38638768704
5,0.895484040534559,86774.5341541647,0.929001466721028,2789.43682077126,432.218093578107,1.31208241417457,1072.1,1175.9,2.1511,-292.237056085199,59.9004460036703,280.138733463178,-22.8485111018739,-7361.93283755733
6.00000000000034,1.03776956881126,79240.9631231466,0.899714311001095,3100.90455035559,419.698634591426,1.2788812197737,1072.1,1175.9,2.1511,-297.303773454798,60.9019139495233,293.734613475193,-23.9592573892376,-7546.03894331189
7.00000000000067,0.973827733459006,72554.3226578026,0.872810480369476,3393.97671458947,407.743144281761,1.24689030007818,1072.1,1175.9,2.1511,-302.833860985711,61.621689901764,306.737330303528,-25.0228563186093,-7725.37874283938
8.00000000000101,1.00050334237365,66704.0466981066,0.848295512793133,3667.17083472314,396.567851006903,1.21678187778808,1072.1,1175.9,2.1511,-307.709398337645,62.4053578686864,319.019884782466,-26.0269797275324,-7892.66038676993
9.00000000000045,1.03753379683826,61694.2644559721,0.826166365983292,3918.91501344314,386.459188845371,1.1894530230857,1072.1,1175.9,2.1511,-312.045125969295,63.1326262512078,330.177539168735,-26.9390600937228,-8043.7204329289
9.9999999999999,1.0571788879665,57544.8781004942,0.806457496852077,4147.57586541681,377.770110598291,1.16601374337814,1072.1,1175.9,2.1511,-315.801138938271,63.7416220250005,339.741400437429,-27.7209356436197,-8173.37527731216
10.9999999999993,1.06713815221819,54283.5360239855,0.789183849943702,4351.4895269735,370.902677242397,1.14773347509304,1072.1,1175.9,2.1511,-318.750081715924,64.2100225424487,347.197508046533,-28.3305307091446,-8274.57657120894
11.9999999999988,1.07563511629039,51944.0992281628,0.77437766705001,4529.00233426083,366.274511524242,1.13593730809714,1072.1,1175.9,2.1511,-320.637104727604,64.5148642499135,352.010434698387,-28.7240122231252,-8339.73626075137
12.9999999999982,1.08572176390883,50558.8799930672,0.762070575296906,4678.52695088548,364.263892037758,1.13182738681569,1072.1,1175.9,2.1511,-321.25035122221,64.6299041424988,353.691996261561,-28.8614434774713,-8362.08243787338
13.9999999999977,1.08946023080936,50147.414767589,0.752290797573479,4798.62504521617,365.129058769023,1.13623978208716,1072.1,1175.9,2.1511,-320.504410986739,64.5244287240631,351.896087069392,-28.7145747101357,-8337.40165593719
14.9999999999971,1.07993216140877,50691.4202460202,0.745069659124708,4888.15053782137,368.878878046912,1.14920869505297,1072.1,1175.9,2.1511,-318.433830675343,64.1890306665012,346.604382103158,-28.2819515571571,-8265.8123440589
